pitcher_name,pitcher_id,pitcher_team,pitch_type,pitch_count,swing_count,whiff_count,csw_count,two_strike_pitch_count,strikeout_count,terminal_pa_count,batted_ball_count,hardhit_count,barrel_count,sweetspot_count,exit_velocity_sum,xwoba_frontier,whiff_pct,csw_pct,putaway_pct,k_pct,avg_exit_velocity,hardhit_pct,barrel_pct,sweetspot_pct,whiff_pct_z,whiff_pct_score_component,csw_pct_z,csw_pct_score_component,putaway_pct_z,putaway_pct_score_component,k_pct_z,k_pct_score_component,avg_exit_velocity_z,avg_exit_velocity_score_component,hardhit_pct_z,hardhit_pct_score_component,barrel_pct_z,barrel_pct_score_component,sweetspot_pct_z,sweetspot_pct_score_component,pitch_value_raw,pitch_value_20_80,pitch_value_0_100,overall_rank,pitch_type_rank,ivb,hb,spin_rate,velocity,extension,release_height,release_side,cluster,movement_predicted_pvs,archetype,cluster_rank,movement_quality_0_100,archetype_pitch_value_rank
"Alpern, Liam",1000137537.0,FLO_Y'A,Fastball,62,16,4,15,6,1,14,10,2,0,3,765.56902,0.2070964318548012,0.25,0.2419354838709677,0.1666666666666666,0.0714285714285714,76.55690200000001,0.2,0.0,0.3,0.1171661188025853,-0.0003812585505836,-0.5821125821150052,0.0170768547089257,-0.1669433790864606,-0.0024240178643354,-1.0158515911098995,-0.0443652865385426,-0.8598301157731503,0.5064399381903855,0.2431450893413454,-0.0581158098191003,-0.701806877583555,-0.0344945098401093,-0.1596802105161499,0.0485119657162799,0.4322478760029198,54.87334721600256,70.35175879396985,178,32,16.456774516129034,-13.654217096774191,2193.724035483871,89.03824661290322,5.974042741935484,5.056026612903226,-1.9234367741935483,2,50.17220188265108,Riding Shape / Lower Velo,3,55.9463986599665,44
"Hensey, Rob",802996.0,SUS_COU1,Sinker,269,133,23,72,71,14,72,100,16,1,36,7643.11995,0.2237432709219941,0.1729323308270676,0.2676579925650557,0.1971830985915492,0.1944444444444444,76.4311995,0.16,0.01,0.36,-0.5525538647685404,0.0017980102759568,-0.1739699690108954,0.0051035830109036,0.144960642496147,0.002104828529044,-0.0067483751143357,-0.0002947217863683,-0.8929236960787942,0.5259320569904098,-0.1994379783533457,0.0476690672720816,-0.3887636413164191,-0.0191081217343433,0.438663641793804,-0.1332690850224502,0.429935617535234,54.84727782621081,70.18425460636516,179,19,13.928060855018588,-16.401263345724907,2136.438720446097,91.69517609665428,6.359515055762082,5.7726204089219335,-2.4411836802973976,2,49.38697303624685,Riding Shape / Lower Velo,3,44.55611390284757,45
"Quigley, Michael",808828.0,NEW_ENG23,Four-Seam,86,39,17,27,27,9,17,21,3,1,6,1664.93228,0.2196191661406925,0.4358974358974359,0.313953488372093,0.3333333333333333,0.5294117647058824,79.28248952380952,0.1428571428571428,0.0476190476190476,0.2857142857142857,1.7326195125698336,-0.0056379438939022,0.5606070840421532,-0.0164459694174606,1.536532431095476,0.0223104508995063,2.7409994710974943,0.1197076699012408,-0.1422672224396899,0.0837953940169773,-0.3891164359367855,0.0930054431683026,0.7888751998789958,0.0387740049492525,-0.3021430324947105,0.0917931682731205,0.4273022178970374,54.81758775366701,70.01675041876047,180,27,18.431197790697677,12.980907093023257,2305.376538372093,92.98225953488372,5.943498372093023,5.531947906976744,1.675690465116279,0,47.59813391751081,Riding Power Fastballs,4,7.035175879396985,52
"Noriega, Branden",804447.0,LAK_ERI24,Curveball,90,34,21,39,29,13,23,10,0,0,4,788.15459,0.2442641054923471,0.6176470588235294,0.4333333333333333,0.4482758620689655,0.5652173913043478,78.815459,0.0,0.0,0.4,3.3120283072875085,-0.0107773401119135,2.454823641762385,-0.0720147063547413,2.711343334669225,0.0393687052193971,3.0347141931527988,0.1325350729575621,-0.2652219142308374,0.1562157074819632,-1.96977024913211,0.4708085756368095,-0.701806877583555,-0.0344945098401093,0.8375595433337738,-0.2544564521816038,0.4271850528073641,54.81626678439158,69.84924623115577,181,12,-10.345346222222222,8.582328777777777,2837.1505044444443,79.16781844444444,5.233967222222223,5.792684666666667,-1.0318277777777778,1,52.14223552443143,Tight High-Spin Breakers,1,87.93969849246231,60
"Turner, Eric",1000080978.0,JOL_SLA,Sinker,75,41,8,17,11,3,25,29,5,0,10,2219.02833,0.2286448143636661,0.1951219512195122,0.2266666666666666,0.2727272727272727,0.12,76.51821827586207,0.1724137931034483,0.0,0.3448275862068966,-0.3597255054297982,0.0011705467946685,-0.8243850224467973,0.0241841590184992,0.9170866819384084,0.0133160986217456,-0.6174185793748767,-0.0269645216170389,-0.8700143438615355,0.5124384485344444,-0.0620846125170622,0.0148392778299906,-0.701806877583555,-0.0344945098401093,0.2873582998303677,-0.0873014629965645,0.4171880363456358,54.70355614994588,69.68174204355108,182,20,15.413445866666668,15.810545466666666,2312.5603533333333,88.44918,5.109667466666666,5.789810133333334,2.4798444,0,48.54532953721104,Riding Power Fastballs,4,26.298157453936348,53
"Thebiay, Nolan",1000338675.0,EVA_OTT,Four-Seam,73,36,7,16,22,2,17,24,2,0,6,1913.99695,0.1841869533776391,0.1944444444444444,0.2191780821917808,0.0909090909090909,0.1176470588235294,79.74987291666666,0.0833333333333333,0.0,0.25,-0.3656130563462479,0.0011897048853506,-0.9432074309598998,0.0276699331946396,-0.9412505655327948,-0.0136669582115361,-0.636719832538511,-0.0278074652464543,-0.0192196311424451,0.0113203627429002,-1.0477221914348374,0.2504234150301805,-0.701806877583555,-0.0344945098401093,-0.6583000874411116,0.1999961746652217,0.4146306572201929,54.674723165139824,69.5142378559464,183,28,17.69905794520548,8.927228356164385,2254.156957534247,89.57945698630137,6.89261698630137,5.616184794520548,1.2539354794520547,0,49.209202076209976,Riding Power Fastballs,4,35.34338358458962,54
"Westcott, Zac",686170.0,FLO_Y'A,Four-Seam,118,53,7,28,39,4,30,44,9,2,12,3419.18143,0.2159391593376999,0.1320754716981132,0.2372881355932203,0.1025641025641025,0.1333333333333333,77.70866886363636,0.2045454545454545,0.0454545454545454,0.2727272727272727,-0.9076009982586164,0.0029533336483335,-0.6558527018149418,0.0192400948604431,-0.8221263830025899,-0.0119372750811976,-0.5080448114476157,-0.0221878410503517,-0.5566055244155517,0.3278406538807599,0.293438619761196,-0.0701368185794618,0.7211169236306968,0.0354436179133723,-0.4316546888388565,0.1311397160520664,0.4123554816439643,54.64907186370866,69.34673366834171,184,29,16.47138254237288,14.712104237288136,2096.0815720338983,83.22172516949153,5.805920762711865,5.898074237288135,2.0174819491525424,0,50.26697525647861,Riding Power Fastballs,4,42.04355108877722,55
"Kaminer, Brandon",690510.0,DOW_EAS1,Slider,99,41,7,28,27,6,29,27,2,0,12,2059.66168,0.2131149603612769,0.1707317073170731,0.2828282828282828,0.2222222222222222,0.2068965517241379,76.28376592592593,0.074074074074074,0.0,0.4444444444444444,-0.5716773384219694,0.001860238059225,0.0667391306814075,-0.0019578591376697,0.4008818909741852,0.0058208050569451,0.095396666771756,0.0041662586279229,-0.9317383960518916,0.5487939152745642,-1.1501719756234237,0.2749106550975838,-0.701806877583555,-0.0344945098401093,1.280777211711517,-0.3891090823584408,0.4099904207800214,54.62240715714364,69.17922948073702,185,56,5.597667272727272,3.2327527272727274,2498.5430494949496,84.25531434343435,5.270993434343434,5.957274343434344,-1.3869174747474748,1,50.713021709491365,Tight High-Spin Breakers,1,74.03685092127303,61
"Milburn, Isaac",830926.0,FLO_Y'A,Curveball,134,34,10,44,46,7,25,15,1,0,5,1178.13386,0.2494152021373476,0.2941176470588235,0.3283582089552239,0.1521739130434782,0.28,78.54225733333332,0.0666666666666666,0.0,0.3333333333333333,0.5005495814207757,-0.0016287883379432,0.7891687834375487,-0.0231510554309239,-0.3150717104066291,-0.0045748412351042,0.6950666357522571,0.0303556451832083,-0.3371474630104507,0.1985798557131554,-1.2321318029742925,0.2945004471515065,-0.701806877583555,-0.0344945098401093,0.1727330407671577,-0.0524775069163478,0.4071092462874416,54.58992356503887,69.01172529313233,186,13,-9.395589029850743,13.731104029850746,2595.2375619402983,76.73000753731343,4.993009179104478,5.8049012686567165,-1.6718300746268655,1,52.16744137359371,Tight High-Spin Breakers,1,88.107202680067,62
"Burcham, Jacob",1000122547.0,GAT_GRI,Sinker,152,62,11,40,28,2,32,39,4,0,12,3045.15424,0.2402490084278744,0.1774193548387097,0.2631578947368421,0.0714285714285714,0.0625,78.08087794871794,0.1025641025641025,0.0,0.3076923076923077,-0.5135615132466962,0.0016711291641047,-0.2453736454047677,0.0071982812615942,-1.1403581277618524,-0.016558000015102,-1.0890929535611902,-0.0475639565608778,-0.4586143846399925,0.2701238725529555,-0.8349418704277747,0.1995653010440354,-0.701806877583555,-0.0344945098401093,-0.0829694602200017,0.025206702801058,0.4051488204076588,54.56782088615063,68.84422110552764,187,21,6.618497960526316,15.60736414473684,2281.7271361842104,91.28026894736844,6.615918157894737,4.916381842105263,3.0074723684210527,0,47.80260769656439,Riding Power Fastballs,4,9.882747068676718,56
"Milburn, Isaac",830926.0,FLO_Y'A,Slider,149,51,17,54,49,9,33,26,3,2,11,1993.11447,0.2238746176092944,0.3333333333333333,0.3624161073825503,0.1836734693877551,0.2727272727272727,76.65824884615384,0.1153846153846153,0.0769230769230769,0.4230769230769231,0.8413348815258344,-0.002737703704485,1.3295701815390573,-0.0390042708456297,0.0068806831770029,9.990751973008304e-05,0.6354082168828415,0.0277501830559243,-0.8331486258114114,0.4907245406029212,-0.693088323089733,0.1656598917199387,1.706218016779027,0.0838623217427059,1.0676917942222175,-0.3243722409272692,0.4019826291638362,54.53212389342946,68.67671691792296,188,57,-1.7048757046979863,15.96436758389262,2654.610244295302,78.59784832214766,4.850697583892617,5.453786174496645,-1.99648677852349,1,51.7474839024527,Tight High-Spin Breakers,1,83.91959798994975,63
"Long, Maddox",1000248716.0,WAS_WIL3,Sinker,186,86,11,44,39,8,53,61,9,1,16,4812.92217,0.2449261803784422,0.127906976744186,0.2365591397849462,0.2051282051282051,0.1509433962264151,78.90036344262295,0.1475409836065573,0.0163934426229508,0.2622950819672131,-0.9438253242570592,0.0030712076051324,-0.6674197794149318,0.0195794266489164,0.2261664232632172,0.0032839364657819,-0.3635888915436857,-0.0158790176603873,-0.2428692005596835,0.1430499591296536,-0.3372917207500538,0.0806184552185156,-0.1886212443587428,-0.0092709227814765,-0.5356886422956296,0.1627459593499083,0.3871990039760444,54.36544698730428,68.50921273031825,189,22,7.468716397849463,17.16285930107527,2221.22596344086,90.18085301075268,5.734846827956988,5.643079086021506,1.676285698924731,0,47.66927373443663,Riding Power Fastballs,4,7.872696817420436,57
"Leak, Anthony",1000264276.0,NEW_YOR13,Sinker,81,33,4,25,15,1,20,25,4,0,10,1881.7364,0.2333947618961839,0.1212121212121212,0.3086419753086419,0.0666666666666666,0.05,75.269456,0.16,0.0,0.4,-1.0020037872242544,0.0032605203236277,0.4763285695692701,-0.0139735749168841,-1.1890288651956225,-0.0172646991226404,-1.1916308609929975,-0.0520420945921471,-1.198774827216274,0.7060783732303854,-0.1994379783533457,0.0476690672720816,-0.701806877583555,-0.0344945098401093,0.8375595433337738,-0.2544564521816038,0.3847766301727099,54.33813611017572,68.34170854271356,190,23,9.854961604938271,14.194354691358024,2119.151135802469,89.06783901234567,6.381678024691358,5.571517530864197,1.706422839506173,0,48.35620319265591,Riding Power Fastballs,4,21.943048576214405,58
"Cerda, Junior",693702.0,EVA_OTT,Fastball,85,39,11,34,36,11,24,22,0,0,10,1712.2351,0.2343496082531077,0.282051282051282,0.4,0.3055555555555556,0.4583333333333333,77.82886818181818,0.0,0.0,0.4545454545454545,0.3956925660038345,-0.0012875836097764,1.9259190185028408,-0.0564987603267993,1.2526197960651535,0.018188039438866,2.157940781779374,0.0942437477626506,-0.5249607616707092,0.3092018886240477,-1.96977024913211,0.4708085756368095,-0.701806877583555,-0.0344945098401093,1.3815084999791856,-0.4197119528531764,0.3804494448325123,54.28934957402016,68.17420435510888,191,33,15.446670941176473,15.645429882352945,2229.3603411764707,92.83773294117648,5.523109529411765,5.2089151764705885,1.973949882352941,0,47.088509315048036,Riding Power Fastballs,4,2.680067001675042,59
"Kelly, Colin",1000456530.0,SUS_COU1,Sinker,96,44,11,28,15,3,27,29,5,1,9,2247.50818,0.1879293240124956,0.25,0.2916666666666667,0.2,0.1111111111111111,77.5002820689655,0.1724137931034483,0.0344827586206896,0.3103448275862069,0.1171661188025853,-0.0003812585505836,0.2069789929093178,-0.0060719357359877,0.1737517829499273,0.0025228758884329,-0.6903344246597174,-0.0301489753281638,-0.6114673221051412,0.3601542527199281,-0.0620846125170622,0.0148392778299906,0.3776525578203597,0.0185620008694285,-0.0565174773592611,0.017170405244085,0.37664664293713,54.24647516084492,68.00670016750419,192,24,14.329698854166669,15.794738229166668,2008.3051427083333,90.53656854166668,5.907203958333334,6.1022153125,2.490537395833333,0,47.55232212363616,Riding Power Fastballs,4,6.365159128978225,60
"Cooper, Garrett",1000327042.0,NEW_YOR13,Slider,57,27,8,17,18,1,17,18,3,0,4,1417.26073,0.204945734340229,0.2962962962962963,0.2982456140350877,0.0555555555555555,0.0588235294117647,78.73670722222222,0.1666666666666666,0.0,0.2222222222222222,0.5194820980932792,-0.0016903947471955,0.3113680632894907,-0.0091342935046605,-1.3025939192077514,-0.0189136637068965,-1.119251161629369,-0.0488810559818394,-0.2859548215485217,0.1684273898920793,-0.1256741337375646,0.0300382544235514,-0.701806877583555,-0.0344945098401093,-0.9353111301772016,0.2841540685257451,0.3695057950606746,54.16596619122216,67.8391959798995,193,58,2.397414210526316,-4.393464035087719,2162.85741754386,80.98409368421054,5.620706842105263,5.489017894736842,1.3908712280701754,1,51.64636392103693,Tight High-Spin Breakers,1,83.08207705192629,64
"Delaney, Carter",1000039247.0,WIN_CIT29,Four-Seam,68,32,6,14,23,5,20,19,3,0,4,1520.1952,0.2385659178528403,0.1875,0.2058823529411764,0.217391304347826,0.25,80.01027368421053,0.1578947368421052,0.0,0.2105263157894736,-0.4259604532398515,0.0013860753148424,-1.154172611067455,0.0338588077182748,0.3515057805341283,0.0051038639333555,0.4489756579159193,0.0196081139081619,0.0493358368264832,-0.0290588078907986,-0.2227318240214881,0.053236692382144,-0.701806877583555,-0.0344945098401093,-1.051947358697661,0.3195889712038604,0.3692292067297312,54.16284781621695,67.67169179229481,194,30,17.583184411764705,8.958367794117647,2241.945175,89.12242058823529,6.305802647058823,6.208522352941177,1.333958970588235,0,49.11193013576532,Riding Power Fastballs,4,34.003350083752096,61
