pitcher_name,pitcher_id,pitcher_team,pitch_type,pitch_count,swing_count,whiff_count,csw_count,two_strike_pitch_count,strikeout_count,terminal_pa_count,batted_ball_count,hardhit_count,barrel_count,sweetspot_count,exit_velocity_sum,xwoba_frontier,whiff_pct,csw_pct,putaway_pct,k_pct,avg_exit_velocity,hardhit_pct,barrel_pct,sweetspot_pct,whiff_pct_z,whiff_pct_score_component,csw_pct_z,csw_pct_score_component,putaway_pct_z,putaway_pct_score_component,k_pct_z,k_pct_score_component,avg_exit_velocity_z,avg_exit_velocity_score_component,hardhit_pct_z,hardhit_pct_score_component,barrel_pct_z,barrel_pct_score_component,sweetspot_pct_z,sweetspot_pct_score_component,pitch_value_raw,pitch_value_20_80,pitch_value_0_100,overall_rank,pitch_type_rank
"Cohn, Cooper",1000301881.0,NIU_HUS,Slider,63,17,3,25,23,2,8,12,2,1,1,964.24494,0.1900196045819502,0.1764705882352941,0.3968253968253968,0.0869565217391304,0.25,80.353745,0.1666666666666666,0.0833333333333333,0.0833333333333333,-0.5218063188943994,0.0016979577616823757,1.8755471496209786,-0.055021051181281026,-0.9816492013473863,-0.014253546403564049,0.44897565791591937,0.019608113908161945,0.13976121079886922,-0.08231935316053396,-0.12567413373756467,0.030038254423551496,1.9068867579759088,0.09372539104127389,-2.3203663438576507,0.7049435378283613,0.698419304217652,57.8742776096106,80.56951423785594,117,43
"Pindel, Buddie",1000054422.0,SCH_BOO,Changeup,88,39,14,27,17,5,23,21,2,0,6,1621.97282,0.2189582706349167,0.358974358974359,0.3068181818181818,0.2941176470588235,0.217391304347826,77.23680095238095,0.0952380952380952,0.0,0.2857142857142857,1.0641560392868343,-0.0034627637518393588,0.4473901853000201,-0.013124638475961391,1.1357145934056083,0.016490575896249433,0.18148546461555176,0.007926014696154992,-0.680833750702119,0.4010110791635481,-0.916001040335227,0.21893982065780496,-0.701806877583555,-0.03449450984010931,-0.30214303249471053,0.09179316827312052,0.6850787466189681,57.723870463982365,80.40201005025126,118,14
"Eckaus, David",824671.0,EVA_OTT,Fastball,92,38,4,26,26,5,21,23,2,1,8,1763.72797,0.2198715667763377,0.1052631578947368,0.2826086956521739,0.1923076923076923,0.238095238095238,76.6838247826087,0.0869565217391304,0.0434782608695652,0.3478260869565217,-1.1406006796114794,0.0037115146114557536,0.06325491050183199,-0.0018556460544817434,0.09512982247999154,0.0013812850224094772,0.351320507980864,0.015343220545048273,-0.8264152727996509,0.4867585956789943,-1.0076331454479994,0.24084145152554448,0.6592506714039914,0.03240282975017758,0.3172605413251172,-0.09638597327835989,0.6821972778007883,57.69138355352504,80.23450586264657,119,20
"Rohde, Isaac",1000135938.0,NEW_YOR13,Changeup,543,260,57,175,152,28,152,163,18,0,50,12463.41374,0.2132226711884109,0.2192307692307692,0.3222836095764272,0.1842105263157894,0.1842105263157894,76.46266098159509,0.1104294478527607,0.0,0.3067484662576687,-0.15021927051061465,0.0004888135062415401,0.6927822725606949,-0.020323460747840548,0.012369864090585232,0.00017961042659529755,-0.09069753909359328,-0.003961033624834499,-0.8846408610699317,0.5210534671701897,-0.7479151542694665,0.1787644364280251,-0.701806877583555,-0.03449450984010931,-0.09238182221952922,0.02806624426304851,0.6697735675813158,57.551313336939224,80.06700167504187,120,15
"Odonnell, Brendan",1000423478.0,NEW_ENG23,Slider,98,54,32,45,33,12,27,19,3,0,4,1478.88139,0.2088701739421029,0.5925925925925926,0.4591836734693877,0.3636363636363636,0.4444444444444444,77.83586263157895,0.1578947368421052,0.0,0.2105263157894736,3.094304365553721,-0.010068866405511807,2.8649945740861145,-0.08404748082539025,1.8462553056740096,0.02680762703838662,2.0440097735218106,0.08926803883901803,-0.52311933938514,0.30811729089784745,-0.22273182402148814,0.053236692382144034,-0.701806877583555,-0.03449450984010931,-1.0519473586976613,0.3195889712038604,0.6684077632902451,57.535914675872235,79.89949748743719,121,44
"Fauci, Sonny",688649.0,NEW_JER6,Slider,69,30,17,31,23,5,16,12,1,0,3,935.244,0.2531142753257416,0.5666666666666667,0.4492753623188406,0.217391304347826,0.3125,77.937,0.0833333333333333,0.0,0.25,2.8690074171509323,-0.009335750135409134,2.70777802679956,-0.0794353761941919,0.35150578053412834,0.005103863933355543,0.9616651950749558,0.041998804064508545,-0.4964929984313528,0.29243437607606676,-1.0477221914348374,0.2504234150301805,-0.701806877583555,-0.03449450984010931,-0.6583000874411116,0.19999617466522177,0.6666909975996227,57.516559126051405,79.7319932998325,122,45
"Salata, Derek",1000057774.0,SCH_BOO,Splitter,65,34,14,22,27,7,18,18,4,1,2,1429.69326,0.1793584041870923,0.4117647058823529,0.3384615384615385,0.2592592592592592,0.3888888888888889,79.42740333333333,0.2222222222222222,0.0555555555555555,0.1111111111111111,1.522905481735951,-0.004955534437568785,0.9494797140236798,-0.02785393689059867,0.779432071014615,0.01131735367113221,1.588285740491556,0.06936520314448771,-0.10411589853703855,0.061324264238315704,0.4890245713939513,-0.11688518598086806,1.0373222127894197,0.05098542408081277,-2.043355301121561,0.6207856439678381,0.664083231793551,57.4871580602821,79.5644891122278,123,6
"Flontek, Zac",1000563032.0,DOW_EAS1,Four-Seam,106,38,13,40,24,10,25,18,0,0,7,1392.24349,0.1992574584681011,0.3421052631578947,0.3773584905660377,0.4166666666666667,0.4,77.34686055555557,0.0,0.0,0.3888888888888889,0.9175631723388077,-0.00298575056279048,1.5666630479869224,-0.04595962717574435,2.3882703361864444,0.03467768528142717,1.6794305470976072,0.0733457702833938,-0.6518584613000269,0.3839446337057158,-1.96977024913211,0.47080857563680956,-0.701806877583555,-0.03449450984010931,0.7267551262393377,-0.22079329463739447,0.6585434826913077,57.42470056225014,79.39698492462311,124,16
"Hensey, Rob",802996.0,SUS_COU1,Slider,67,26,10,21,22,3,18,16,1,0,6,1215.26113,0.2079369837384717,0.3846153846153846,0.3134328358208955,0.1363636363636363,0.1666666666666666,75.953820625,0.0625,0.0,0.375,1.2869771970478336,-0.004187823799193651,0.5523458177989455,-0.016203616910949868,-0.47666625366499454,-0.0069211940032157205,-0.23461039162946318,-0.010246139633633545,-1.018602788666691,0.599957042524681,-1.2782342058591554,0.30551970518183774,-0.701806877583555,-0.03449450984010931,0.5882496048712927,-0.17871434770713282,0.6547091158122839,57.381470271964346,79.22948073701842,125,46
"Kirby, Zach",813716.0,WAS_WIL3,Curveball,98,28,10,45,22,5,14,11,1,0,4,833.77382,0.2252346783005187,0.3571428571428571,0.4591836734693877,0.2272727272727272,0.3571428571428571,75.79762,0.0909090909090909,0.0,0.3636363636363636,1.0482402423039052,-0.0034109737484569074,2.8649945740861145,-0.08404748082539025,0.45250237007060706,0.006570334413425215,1.32787200733141,0.05799215417618467,-1.0597255819860725,0.6241783677897966,-0.963899640735085,0.23038840042957784,-0.701806877583555,-0.03449450984010931,0.4749269055701646,-0.144286118400555,0.652890173994473,57.360962744834616,79.06197654941374,126,9
"Kelly, Colin",1000456530.0,SUS_COU1,Four-Seam,71,33,4,13,17,2,22,26,2,0,6,2049.13508,0.223204426696513,0.1212121212121212,0.1830985915492957,0.1176470588235294,0.0909090909090909,78.8128876923077,0.0769230769230769,0.0,0.2307692307692307,-1.0020037872242544,0.003260520323627724,-1.5156857131296964,0.044464156080372776,-0.6679656761987943,-0.009698861618406494,-0.8560522548525373,-0.03738637012617486,-0.2658988600163698,0.1566144285496418,-1.1186489651038583,0.2673761196922289,-0.701806877583555,-0.03449450984010931,-0.8500769631814822,0.25825933195327655,0.6483948150144572,57.31028014721777,78.89447236180904,127,17
"Shinn, Nathan",1000490914.0,LAK_ERI24,Fastball,191,83,14,49,41,7,46,59,8,0,18,4504.55644,0.2038729921375886,0.1686746987951807,0.256544502617801,0.1707317073170731,0.1521739130434782,76.34841423728814,0.135593220338983,0.0,0.3050847457627119,-0.5895527942164893,0.0019184047923804562,-0.3503092554204402,0.010276672317014035,-0.1253951885942184,-0.001820738138388051,-0.35349492198518184,-0.015438183727858846,-0.9147184952250237,0.538769193687539,-0.46948866372637826,0.11221577193788776,-0.701806877583555,-0.03449450984010931,-0.10897310438818747,0.03310679192486207,0.6445334029533272,57.26674493799486,78.72696817420436,128,21
"Barreto, Brayhans",810980.0,TRI_VAL,Changeup,108,38,15,28,19,4,30,23,2,0,8,1755.19681,0.2272256797302956,0.3947368421052631,0.2592592592592592,0.2105263157894736,0.1333333333333333,76.3129047826087,0.0869565217391304,0.0,0.3478260869565217,1.3749329172166493,-0.004474031712622977,-0.30723383525968617,0.009013011791178154,0.2813397288561538,0.004085052862991353,-0.5080448114476157,-0.02218784105035172,-0.9240670363442831,0.5442754844067828,-1.0076331454479994,0.24084145152554448,-0.701806877583555,-0.03449450984010931,0.3172605413251172,-0.09638597327835989,0.6406726447050529,57.2232171001374,78.55946398659967,129,16
