overall_rank,pitch_type_rank,pitch_type_batter_side_rank,pitcher_name,pitcher_id,pitcher_team,pitch_type,batter_side,split_pitch_count,pitch_value_pitch_count,pitch_value_20_80,pitch_value_0_100,location_score_20_80,location_score_0_100,average_location_advantage,median_location_advantage,final_pitch_score_raw,final_pitch_score,final_pitch_score_0_100,pitch_value_raw,location_score_raw,pitch_value_xwoba_frontier,pitch_value_overall_rank,pitch_value_pitch_type_rank,groundball_pct,line_drive_pct,flyball_pct,groundball_score_20_80,groundball_score_0_100,groundball_score_rank,groundball_score_pitch_type_rank,strikeout_score_20_80,strikeout_score_0_100,strikeout_score_rank,strikeout_score_pitch_type_rank,line_drive_score_20_80,line_drive_score_0_100,line_drive_score_rank,line_drive_score_pitch_type_rank,flyball_score_20_80,flyball_score_0_100,flyball_score_rank,flyball_score_pitch_type_rank
36,22,16,"Petschke, Ben",814386.0,EVA_OTT,Slider,R,84,138,63.90136386934586,91.66666666666666,67.96293422543837,94.67265725288831,0.0140909953634105,0.0081818887109285,65.1198349761736,65.1198349761736,97.35449735449735,1.2176888598753182,0.0140909953634105,0.1842407389680273,63,22,0.5,0.15,0.35,58.75493503371554,80.1747311827957,155,28,53.35495308071896,67.6747311827957,242,91,56.28672793333817,77.41935483870968,170,50,55.25642957457454,71.30376344086021,214,43
37,23,17,"Morin, Jacob",822351.0,QUE_CAP,Slider,R,60,85,65.09226547920066,93.01075268817203,64.98237602226966,92.61874197689345,0.0124177408649612,0.0049783846377976,65.05929864212136,65.05929864212136,97.27891156462584,1.3220057914481638,0.0124177408649612,0.2077637845883223,53,19,0.35,0.15,0.5,47.26519366266689,42.473118279569896,431,97,58.2956328279038,81.25,140,54,56.28672793333817,77.41935483870968,169,49,43.27513356248082,27.1505376344086,550,123
38,24,18,"Harajli, Ahmad",800677.0,FLO_Y'A,Slider,R,49,69,64.99122504532555,92.74193548387096,64.84143106199123,92.16944801026958,0.0123386158243668,0.0041158122971017,64.94628685032525,64.94628685032525,97.20332577475435,1.313155162698131,0.0123386158243668,0.1690772837116804,55,20,0.3684210526315789,0.1578947368421052,0.4736842105263157,48.67621453279567,49.39516129032258,377,84,62.17273695992495,87.90322580645162,91,35,55.26315051680303,72.91666666666666,200,59,45.377115318988494,33.33333333333333,496,107
39,25,19,"Leak, Anthony",1000264276.0,NEW_YOR13,Slider,R,131,196,58.49312447519328,81.72043010752688,79.82044958672667,99.16559691912708,0.0207476816504335,0.0110090077354418,64.89132200865329,64.89132200865329,97.12773998488285,0.7439545613062141,0.0207476816504335,0.1831751489269879,137,48,0.2888888888888888,0.2444444444444444,0.4666666666666667,42.58418791890632,24.93279569892473,560,123,57.73309424829334,80.51075268817203,146,57,44.041709209602864,23.9247311827957,567,120,45.937643787390535,35.215053763440864,482,104
40,26,20,"Vailes, Gage",1000050773.0,GAT_GRI,Slider,R,177,249,58.31923161350272,81.31720430107528,80.0,99.55070603337612,0.0216056922928963,0.0120964683263922,64.82346212945191,64.82346212945191,97.05215419501134,0.7287224299497107,0.0216056922928963,0.2112074034757762,140,50,0.3181818181818182,0.2272727272727272,0.4545454545454545,44.827975796080814,32.93010752688172,502,112,66.86607354079266,91.93548387096774,62,25,46.268076250282014,32.526881720430104,507,111,46.90582932372135,38.575268817204304,460,99
41,27,21,"Alpern, Liam",1000137537.0,FLO_Y'A,Slider,R,40,78,75.48892110637966,98.9247311827957,39.919360815945495,13.093709884467266,-0.0016523762339435,0.0,64.8180530192494,64.8180530192494,96.97656840513983,2.232700012257136,-0.0016523762339435,0.1146171954968108,9,5,0.4375,0.0625,0.5,53.967542795778606,68.41397849462365,235,49,62.50797528712978,88.23924731182797,88,34,67.63137763326941,96.03494623655914,29,7,43.27513356248082,27.1505376344086,526,115
42,1,1,"Webster, Evan",804248.0,FLO_Y'A,Cutter,L,76,108,73.45879362034657,98.11827956989248,44.50010737220142,30.551989730423617,0.0009192074289296,0.0,64.77118774590302,64.77118774590302,96.90098261526833,2.0548711569661533,0.0009192074289296,0.1473869727164208,15,1,0.5769230769230769,0.0384615384615384,0.3846153846153846,64.64711009579176,91.06182795698923,68,6,53.95939794340647,70.16129032258065,233,6,70.74803963874504,98.252688172043,14,1,52.49151511024522,60.41666666666666,298,19
43,1,1,"Still, Stephen",1000338771.0,TRI_VAL,Sinker,R,50,61,68.75970897443298,96.10215053763442,54.40203652731179,70.98844672657253,0.006478047878514,0.0041496513367705,64.45240724029662,64.45240724029662,96.82539682539682,1.6432552120330193,0.006478047878514,0.2159746996250423,30,2,0.2777777777777778,0.0555555555555555,0.6666666666666666,41.73309596549532,22.177419354838708,582,105,63.02607088371907,88.64247311827957,86,4,68.53174665707348,96.7741935483871,25,2,29.96258243793224,1.8145161290322585,734,121
44,28,22,"Gilleran, Jimmy",10103730.0,NEW_ENG23,Slider,R,54,80,57.7827447604941,79.83870967741935,80.0,100.0,0.0247174748666042,0.0235584023749435,64.44792133234586,64.44792133234586,96.74981103552533,0.6817289068308241,0.0247174748666042,0.2002405538385068,151,57,0.3333333333333333,0.1481481481481481,0.5185185185185185,45.98855573255037,37.43279569892473,462,106,45.41082059968315,38.03763440860215,460,132,56.526826339685925,78.62903225806451,159,46,41.79596121530876,21.774193548387096,583,127
45,6,4,"Mercado, Nelson",683319.0,OTT_TIT,Four-Seam,R,42,81,60.28072742232039,86.15591397849462,74.1127803857269,97.94608472400512,0.0175434552890493,0.0145317863697527,64.43034331134234,64.43034331134234,96.67422524565382,0.9005394989465384,0.0175434552890493,0.1716463716230314,104,16,0.1851851851851851,0.1851851851851851,0.6296296296296297,34.64066302040355,4.166666666666666,714,223,38.70605405558644,9.408602150537634,675,217,51.72485821273091,55.57795698924731,333,85,32.92092713227636,3.5618279569892475,719,228
46,1,1,"Garcia, Hector",815312.0,WAS_WIL3,Splitter,L,59,62,72.74938433338859,97.8494623655914,44.99289111065788,33.24775353016688,0.0011958511147527,0.0,64.42243636656937,64.42243636656937,96.5986394557823,1.992730507031388,0.0011958511147527,0.1869236999789707,17,1,0.4615384615384615,0.1538461538461538,0.3846153846153846,55.80884750267742,73.65591397849462,195,7,65.92740622461912,91.12903225806453,68,6,55.78806201246208,75.13440860215054,182,7,52.49151511024522,60.41666666666666,295,8
47,2,1,"Correa, Nelvin",673388.0,QUE_CAP,Cutter,R,41,88,71.4904701445458,97.31182795698923,47.73704022380105,45.31450577663672,0.0027363879991192,0.0,64.36444116832237,64.36444116832237,96.52305366591081,1.882456019024264,0.0027363879991192,0.1397116303940513,21,2,0.5833333333333334,0.0416666666666666,0.375,65.13812468429812,91.86827956989248,61,5,49.21018830800463,53.69623655913978,346,12,70.33248470468163,97.78225806451611,17,3,53.25954690589226,63.50806451612904,271,16
48,7,6,"Hocom, Quinn",1000152021.0,TRI_VAL,Changeup,L,52,73,66.01557706493142,94.22043010752688,60.00650627822369,85.2374839537869,0.0096243391377038,0.0,64.21285582891909,64.21285582891909,96.44746787603931,1.4028831961909731,0.0096243391377038,0.1859240823088176,44,10,0.6666666666666666,0.1111111111111111,0.2222222222222222,71.5213143348807,97.78225806451611,17,4,49.97006184966892,56.31720430107527,325,46,61.32879446664095,89.24731182795699,82,17,65.46271877006178,92.94354838709675,52,15
49,8,7,"Maietta, Dante",1000137704.0,WIN_CIT29,Changeup,L,114,191,63.762645308661725,91.39784946236558,64.85657845553546,92.23363286264444,0.0123471194141846,0.0,64.09082525272385,64.09082525272385,96.3718820861678,1.205537818611267,0.0123471194141846,0.1797782659009316,65,16,0.3529411764705882,0.1176470588235294,0.5294117647058824,47.49048270915804,43.48118279569893,422,92,60.60829143296905,85.48387096774194,108,9,60.481388326590064,87.70161290322581,92,21,40.9258598346193,18.884408602150536,605,102
50,29,7,"Bargo, Casey",1000492781.0,NEW_ENG23,Slider,L,27,56,72.76422828949876,97.98387096774194,43.30646394607754,25.60975609756097,0.0002491083749394,0.0,63.926898986472395,63.926898986472395,96.29629629629629,1.994030762183452,0.0002491083749394,0.1783192063018477,16,7,0.625,0.125,0.25,68.32971950958941,95.76612903225806,31,7,65.92740622461912,91.12903225806453,66,26,59.528056419032815,85.75268817204301,102,25,63.24396024930369,90.05376344086021,70,12
51,9,8,"Harris, Everette",810834.0,TRI_VAL,Changeup,L,56,96,68.99828669986968,96.23655913978494,51.62287530917777,60.65468549422336,0.0049178555611102,0.0,63.78566328266211,63.78566328266211,96.2207105064248,1.6641534088724874,0.0049178555611102,0.1705301172966663,29,7,0.5925925925925926,0.1481481481481481,0.2592592592592592,65.8473679788073,93.07795698924733,52,17,39.71176903720095,14.045698924731182,636,94,56.526826339685925,78.62903225806451,160,35,62.504374075717664,88.44086021505376,86,25
