pitcher_name,pitcher_id,pitcher_team,pitch_type,pitch_count,swing_count,whiff_count,csw_count,two_strike_pitch_count,strikeout_count,terminal_pa_count,batted_ball_count,hardhit_count,barrel_count,sweetspot_count,exit_velocity_sum,xwoba_frontier,whiff_pct,csw_pct,putaway_pct,k_pct,avg_exit_velocity,hardhit_pct,barrel_pct,sweetspot_pct
"Austin, Zack",813186,SUS_COU1,Curveball,26,5,3,10,13,4,6,2,0,0,0,121.68883,0.04554474633832317,0.6,0.38461538461538464,0.3076923076923077,0.6666666666666666,60.844415,0.0,0.0,0.0
"Austin, Zack",813186,SUS_COU1,Cutter,17,6,2,3,2,1,6,4,0,0,1,306.64639,0.18740753649345498,0.3333333333333333,0.17647058823529413,0.5,0.16666666666666666,76.6615975,0.0,0.0,0.25
"Austin, Zack",813186,SUS_COU1,Four-Seam,167,58,13,44,45,3,36,37,7,1,11,3064.44284,0.2425130370234557,0.22413793103448276,0.2634730538922156,0.06666666666666667,0.08333333333333333,82.82277945945947,0.1891891891891892,0.02702702702702703,0.2972972972972973
"Austin, Zack",813186,SUS_COU1,Sinker,5,0,0,1,0,0,0,0,0,0,0,0.0,,,0.2,,,,,,
"Austin, Zack",813186,SUS_COU1,Slider,68,19,6,13,22,4,10,7,0,0,2,533.15056,0.2584642918231714,0.3157894736842105,0.19117647058823528,0.18181818181818182,0.4,76.16436571428572,0.0,0.0,0.2857142857142857
"Austin, Zack",813186,SUS_COU1,Splitter,2,1,0,0,2,0,1,1,1,0,1,96.64121,0.4534170164179724,0.0,0.0,0.0,0.0,96.64121,1.0,0.0,1.0
"Austin, Zack",813186,SUS_COU1,Sweeper,2,2,0,0,1,0,1,1,0,0,0,78.36006,0.13788255352930046,0.0,0.0,0.0,0.0,78.36006,0.0,0.0,0.0
"Austin, Zack",813186,SUS_COU1,,2,0,0,0,0,0,0,0,0,0,0,0.0,,,0.0,,,,,,
"Baird, Dustin",1000027580,MIS_MUD,Curveball,1,1,1,1,0,0,0,0,0,0,0,0.0,,1.0,1.0,,,,,,
"Baird, Dustin",1000027580,MIS_MUD,Cutter,47,30,9,12,18,1,11,14,3,1,4,1145.58145,0.2445465238750371,0.3,0.2553191489361702,0.05555555555555555,0.09090909090909091,81.82724642857143,0.21428571428571427,0.07142857142857142,0.2857142857142857
"Baird, Dustin",1000027580,MIS_MUD,Four-Seam,81,24,3,20,15,1,19,20,2,1,8,1584.64163,0.2514065707292995,0.125,0.24691358024691357,0.06666666666666667,0.05263157894736842,79.2320815,0.1,0.05,0.4
"Baird, Dustin",1000027580,MIS_MUD,Sinker,49,18,1,9,5,1,15,14,4,0,10,1199.37738,0.37805461162701487,0.05555555555555555,0.1836734693877551,0.2,0.06666666666666667,85.66981285714284,0.2857142857142857,0.0,0.7142857142857143
"Baird, Dustin",1000027580,MIS_MUD,Slider,57,23,8,19,22,6,16,10,2,0,2,757.05236,0.2146571561345229,0.34782608695652173,0.3333333333333333,0.2727272727272727,0.375,75.705236,0.2,0.0,0.2
"Baird, Dustin",1000027580,MIS_MUD,Sweeper,9,5,1,3,4,0,2,3,0,0,1,240.87466999999998,0.22330920648598152,0.2,0.3333333333333333,0.0,0.0,80.29155666666666,0.0,0.0,0.3333333333333333
"Baker, Luke",694914,EVA_OTT,Changeup,7,4,1,1,2,1,2,3,1,0,0,244.21862,0.20719480499209253,0.25,0.14285714285714285,0.5,0.5,81.40620666666666,0.3333333333333333,0.0,0.0
"Baker, Luke",694914,EVA_OTT,Curveball,59,22,6,23,19,4,13,11,2,0,2,913.59812,0.24813723746515395,0.2727272727272727,0.3898305084745763,0.21052631578947367,0.3076923076923077,83.05437454545455,0.18181818181818182,0.0,0.18181818181818182
"Baker, Luke",694914,EVA_OTT,Cutter,18,7,2,5,6,0,4,3,3,0,2,295.52263,0.5381822331771313,0.2857142857142857,0.2777777777777778,0.0,0.0,98.50754333333333,1.0,0.0,0.6666666666666666
"Baker, Luke",694914,EVA_OTT,Four-Seam,87,40,5,15,31,3,25,30,7,0,10,2526.61006,0.3105194866693983,0.125,0.1724137931034483,0.0967741935483871,0.12,84.22033533333334,0.23333333333333334,0.0,0.3333333333333333
"Baker, Luke",694914,EVA_OTT,Sinker,2,1,1,2,0,0,0,0,0,0,0,0.0,,1.0,1.0,,,,,,
"Baker, Luke",694914,EVA_OTT,Slider,21,9,4,11,7,3,5,2,0,0,0,160.6872,0.17520790712790524,0.4444444444444444,0.5238095238095238,0.42857142857142855,0.6,80.3436,0.0,0.0,0.0
"Baker, Luke",694914,EVA_OTT,Sweeper,3,1,1,1,2,1,1,0,0,0,0,0.0,,1.0,0.3333333333333333,0.5,1.0,,,,
"Balzan, Jackson",827496,SUS_COU1,Changeup,273,147,40,68,85,17,87,94,19,5,35,7303.8694,0.24743333662011693,0.272108843537415,0.2490842490842491,0.2,0.19540229885057472,77.70073829787233,0.20212765957446807,0.05319148936170213,0.3723404255319149
"Balzan, Jackson",827496,SUS_COU1,Curveball,69,26,9,20,27,5,15,14,2,0,3,1105.23928,0.2177155887445465,0.34615384615384615,0.2898550724637681,0.18518518518518517,0.3333333333333333,78.94566285714286,0.14285714285714285,0.0,0.21428571428571427
