pitcher_name,pitcher_id,pitcher_team,pitch_type,pitch_count,swing_count,whiff_count,csw_count,two_strike_pitch_count,strikeout_count,terminal_pa_count,batted_ball_count,hardhit_count,barrel_count,sweetspot_count,groundball_count,line_drive_count,flyball_count,exit_velocity_sum,xwoba_frontier,whiff_pct,csw_pct,putaway_pct,k_pct,avg_exit_velocity,hardhit_pct,barrel_pct,sweetspot_pct,groundball_pct,line_drive_pct,flyball_pct,whiff_pct_z,whiff_pct_score_component,csw_pct_z,csw_pct_score_component,putaway_pct_z,putaway_pct_score_component,k_pct_z,k_pct_score_component,avg_exit_velocity_z,avg_exit_velocity_score_component,hardhit_pct_z,hardhit_pct_score_component,barrel_pct_z,barrel_pct_score_component,sweetspot_pct_z,sweetspot_pct_score_component,pitch_value_raw,pitch_value_20_80,pitch_value_0_100,overall_rank,pitch_type_rank,groundball_score_raw,groundball_score_20_80,groundball_score_0_100,groundball_score_rank,groundball_score_pitch_type_rank,strikeout_score_raw,strikeout_score_20_80,strikeout_score_0_100,strikeout_score_rank,strikeout_score_pitch_type_rank,line_drive_score_raw,line_drive_score_20_80,line_drive_score_0_100,line_drive_score_rank,line_drive_score_pitch_type_rank,flyball_score_raw,flyball_score_20_80,flyball_score_0_100,flyball_score_rank,flyball_score_pitch_type_rank,pitcher_id_key,ivb,hb,spin_rate,velocity,extension,release_height,release_side,cluster,movement_predicted_pvs,archetype,cluster_rank,movement_quality_0_100,archetype_pitch_value_rank
"Valdez, Alex",677678.0,EVA_OTT,Slider,116,59,30,45,44,9,27,20,2,0,9,6,6,8,1597.16256,0.2345550473265515,0.5084745762711864,0.3879310344827586,0.2045454545454545,0.3333333333333333,79.858128,0.1,0.0,0.45,0.3,0.3,0.4,2.3700863130920062,-0.0077122608628013,1.8301511421141807,-0.0536893139050616,0.2615857148742292,0.0037982245799738,1.0608291432969046,0.0463295911752057,0.0746804972267369,-0.043986812866548,-0.9083792567627406,0.2171180848136599,-0.7535608244918718,-0.0370382680845999,1.502045216492092,-0.456331851086813,-0.3315126062369846,46.21539005699096,35.483870967741936,481,123,-0.656472012768266,43.43527987231734,27.284946236559136,545,121,1.0608291432969046,60.60829143296905,85.48387096774194,114,43,-1.3161242980829675,36.83875701917032,9.206989247311828,680,138,0.1262664237209965,51.26266423720997,55.51075268817204,340,72,677678,3.537194051724138,-2.6464251724137933,2178.5308646551725,85.75555784482759,5.318184137931034,6.0540625,1.783905603448276,3,49.19227260695243,Tight High-Spin Breakers,1,54.03225806451613,161
"Ginn, Landon",701061.0,WAS_WIL3,Cutter,98,52,27,38,30,10,23,17,4,0,4,10,3,4,1400.82651,0.2479506284455045,0.5192307692307693,0.3877551020408163,0.3333333333333333,0.4347826086956521,82.40155941176471,0.2352941176470588,0.0,0.2352941176470588,0.5882352941176471,0.1764705882352941,0.2352941176470588,2.466875073661464,-0.0080272114896944,1.827258586648279,-0.0536044578979139,1.6755600859420157,0.024329132447878,1.87025965506974,0.0816798499158607,0.8099723566356279,-0.4770737180583848,0.7276097267436095,-0.1739110940570773,-0.7535608244918718,-0.0370382680845999,-0.8492800872955538,0.2580172354810003,-0.3856285317429313,45.59759252563996,33.87096774193548,493,23,1.551360642845004,65.51360642845003,92.47311827956987,56,4,1.87025965506974,68.7025965506974,94.22043010752688,43,1,0.2854733066132083,52.85473306613208,61.29032258064516,288,14,1.441859711323445,64.41859711323445,91.53225806451611,63,4,701061,3.295961632653061,-1.9263417346938772,2836.3224112244898,86.19170673469387,5.407049183673469,6.300360306122449,1.020098775510204,3,50.23111996320894,Tight High-Spin Breakers,1,63.844086021505376,162
"Andueza, Axel",672847.0,DOW_EAS1,Curveball,134,49,12,40,27,3,29,31,5,1,14,12,8,11,2465.09491,0.2517031029488312,0.2448979591836734,0.2985074626865671,0.1111111111111111,0.1034482758620689,79.51919064516129,0.1612903225806451,0.032258064516129,0.4516129032258064,0.3870967741935484,0.2580645161290322,0.3548387096774194,-0.001687248320583,5.490306035177091e-06,0.3599126885129219,-0.010558398630215,-0.7642388288416152,-0.0110967477947802,-0.7733483710651863,-0.0337744434095298,-0.0233044048664425,0.0137262944663346,-0.1672510075726275,0.0399758340769867,0.3271647538138789,0.0160804748147059,1.519708729600527,-0.4616981500137472,-0.4473396461842099,44.89308689624716,31.18279569892473,513,51,0.0106742603893975,50.10674260389398,54.43548387096774,340,49,-0.7733483710651863,42.26651628934814,23.58870967741936,568,66,-0.7724175843535431,42.275824156464566,18.615591397849464,606,59,0.4869936154829581,54.86993615482958,69.6236559139785,227,40,672847,-3.353050373134328,-3.3052508208955227,2193.2661910447764,79.29064679104476,5.08606723880597,6.092765671641791,0.903124776119403,3,51.78975759296792,Tight High-Spin Breakers,1,78.89784946236558,163
"Smith, Jackson",1000333915.0,MIS_MUD,Sinker,427,167,22,121,68,9,110,112,24,2,33,52,21,39,9141.22013,0.2746457389427056,0.1317365269461078,0.2833723653395784,0.1323529411764706,0.0818181818181818,81.618036875,0.2142857142857142,0.0178571428571428,0.2946428571428571,0.4642857142857143,0.1875,0.3482142857142857,-1.0199615403209548,0.0033189548522043,0.1110722354693221,-0.003258415099728,-0.5310227561049444,-0.0077104504186437,-0.9459278008256188,-0.0413115048454572,0.5834603538815362,-0.3436581484362248,0.4735741702985231,-0.1131922774622421,-0.1553020222154753,-0.0076332496939128,-0.1993295997025893,0.0605577276968445,-0.4528873634071599,44.8297531183818,31.048387096774192,514,71,0.6019282326323006,56.01928232632301,74.26075268817203,193,34,-0.9459278008256188,40.54072199174381,16.93548387096774,619,77,0.1424735204796209,51.42473520479621,53.965053763440864,346,51,0.5399064050908993,55.39906405090899,71.50537634408603,213,43,1000333915,0.9447431850117096,21.84026550351288,2410.799921077283,85.27234948477752,5.122660983606558,4.008815784543326,3.941003817330211,3,48.60019143709224,Tight High-Spin Breakers,1,50.403225806451616,164
"Peyton, Blake",1000017005.0,GAT_GRI,Curveball,87,30,5,18,37,1,16,18,5,0,5,10,3,5,1455.62217,0.228158527946382,0.1666666666666666,0.2068965517241379,0.027027027027027,0.0625,80.86789833333334,0.2777777777777778,0.0,0.2777777777777778,0.5555555555555556,0.1666666666666666,0.2777777777777778,-0.7056454116707326,0.0022961701695765,-1.146288432298725,0.0336275174499154,-1.6874059857867731,-0.0245011349136239,-1.1000612408109331,-0.0480429745699358,0.366599478229437,-0.2159270926771384,1.2413260742214494,-0.2966980342821881,-0.7535608244918718,-0.0370382680845999,-0.3840254609753191,0.1166696232225287,-0.4696141936854657,44.63879649412286,30.64516129032258,517,52,1.3010394800770595,63.0103948007706,89.04569892473118,83,18,-1.1000612408109331,38.99938759189067,10.618279569892474,668,71,0.4125842276208419,54.12584227620842,67.40591397849462,253,32,1.1025201728545593,61.0252017285456,85.88709677419355,106,27,1000017005,-5.5074137209302325,8.616073488372093,2676.362873255814,77.90220430232559,5.241956511627907,6.416498139534884,-1.777326395348837,3,52.833075119771514,Tight High-Spin Breakers,1,88.03763440860214,165
"Turner, Eric",1000080978.0,JOL_SLA,Slider,160,74,16,44,44,10,43,47,13,3,17,15,11,21,3772.21314,0.2629823157255906,0.2162162162162162,0.275,0.2272727272727272,0.2325581395348837,80.25985404255319,0.2765957446808511,0.0638297872340425,0.3617021276595745,0.3191489361702128,0.2340425531914893,0.4468085106382978,-0.2597776677862073,0.0008453165309763,-0.026580211448155,0.000779757083043,0.5111106038861913,0.0074213259684274,0.2567769073498021,0.0112142178746879,0.1908172593330775,-0.1123913657471826,1.2270328206909695,-0.2932817037030935,1.3848961708790828,0.0680690316948778,0.5350618286621979,-0.1625555289803763,-0.4798989492786399,44.52138379986314,29.83870967741936,523,124,-0.5097944633506234,44.90205536649377,33.4005376344086,497,111,0.2567769073498021,52.56776907349802,65.7258064516129,256,95,-0.4609652933465084,45.39034706653492,28.293010752688176,535,115,-0.2476179908407925,47.52382009159207,41.06182795698925,440,96,1000080978,1.3467677500000002,-7.5899553125,2351.0413075,78.330757,4.9986015625,5.49785075,2.711873125,3,53.13763657439356,Tight High-Spin Breakers,1,90.05376344086021,166
"Huter, Blayne",1000145980.0,SUS_COU1,Curveball,103,52,8,28,36,4,30,37,6,0,12,14,7,16,3036.3136,0.2746176629908981,0.1538461538461538,0.2718446601941747,0.1111111111111111,0.1333333333333333,82.06252972972973,0.1621621621621621,0.0,0.3243243243243243,0.3783783783783784,0.1891891891891892,0.4324324324324324,-0.8210097929555396,0.0026715658662773,-0.0784580533137905,0.0023016454520133,-0.7642388288416152,-0.0110967477947802,-0.5349052941981142,-0.0233609189135142,0.7119607632640811,-0.4193448895625437,-0.1567086427192832,0.0374560296568349,-0.7535608244918718,-0.0370382680845999,0.1257233707726293,-0.0381956401043202,-0.4866072234846328,44.44480088632445,29.435483870967744,526,53,-0.056107148335093,49.43892851664907,52.21774193548387,356,51,-0.5349052941981142,44.65094705801886,35.14784946236559,484,58,0.1205726523330354,51.20572652333036,53.09139784946236,349,38,-0.1327886251891375,48.67211374810862,46.303763440860216,400,56,1000145980,-5.0568,-14.241019417475728,2136.9634834951457,73.69118194174757,6.006360970873786,5.857499708737864,1.9373958252427184,3,55.21113139396759,Tight High-Spin Breakers,1,98.65591397849462,167
"Estrella, Noah",805762.0,TRI_VAL,Slider,107,36,14,39,26,9,29,17,5,0,3,9,2,6,1411.84604,0.2277529237860698,0.3888888888888889,0.3644859813084112,0.3461538461538461,0.3103448275862069,83.04976705882352,0.2941176470588235,0.0,0.1764705882352941,0.5294117647058824,0.1176470588235294,0.3529411764705882,1.2940038639325917,-0.0042106885732366,1.4446843347469551,-0.0423812596441366,1.8163177156410708,0.0263729332311083,0.8774113918606958,0.0383191877167321,0.99736557820406,-0.5874483255621914,1.4389092847898486,-0.3439237805226152,-0.7535608244918718,-0.0370382680845999,-1.493478800662032,0.4537293139927299,-0.4965808874462096,44.33093967234024,28.897849462365592,530,125,1.100782549862704,61.00782549862704,85.14784946236558,111,20,0.8774113918606958,58.77411391860696,82.39247311827957,132,50,1.0481388326590062,60.481388326590064,87.70161290322581,91,21,0.5021502201788393,55.0215022017884,70.29569892473118,221,45,805762,-2.243532897196262,0.6193069158878505,2581.134046728972,85.26945579439253,5.647523177570093,5.668681028037383,1.6725234579439254,3,49.71040802187382,Tight High-Spin Breakers,1,59.005376344086024,168
"Figueredo, Kevin",1000210447.0,WIN_CIT29,Curveball,78,26,8,25,21,5,17,12,3,0,4,7,2,3,970.1345,0.2811540745329307,0.3076923076923077,0.3205128205128205,0.238095238095238,0.2941176470588235,80.84454166666667,0.25,0.0,0.3333333333333333,0.5833333333333334,0.1666666666666666,0.25,0.5633627824621464,-0.0018331824941318,0.7217090539628541,-0.0211720568070542,0.629931979606173,0.0091466123438816,0.7479400379057243,0.0326647852754566,0.3598471959451607,-0.2119499984116996,0.9054346162551696,-0.2164142656734619,-0.7535608244918718,-0.0370382680845999,0.22438443498191,-0.0681695620385491,-0.5147659358901585,44.123335756651215,27.82258064516129,538,54,1.5138124684298124,65.13812468429812,91.86827956989248,62,15,0.7479400379057243,57.47940037905724,80.10752688172043,147,35,0.4125842276208419,54.12584227620842,67.40591397849462,236,27,1.324396024930369,63.24396024930369,90.05376344086021,73,19,1000210447,-3.519105384615385,4.930871153846154,2324.06502948718,75.75797012820513,4.998615384615385,5.241857564102564,-3.2362719230769232,3,53.4550739217833,Tight High-Spin Breakers,1,93.54838709677419,169
"Forsyth, Braden",687732.0,MIS_MUD,Slider,143,62,21,39,45,6,36,36,8,1,9,12,6,18,2990.41365,0.2813830463692276,0.3387096774193548,0.2727272727272727,0.1333333333333333,0.1666666666666666,83.06704583333334,0.2222222222222222,0.0277777777777777,0.25,0.3333333333333333,0.1666666666666666,0.5,0.8424701565382923,-0.0027413978893756,-0.0639467688758502,0.0018759424117419,-0.5202589373632523,-0.0075541597705144,-0.2689495546156113,-0.0117458338987275,1.0023607757072697,-0.5903904968915819,0.5695431582888898,-0.1361304970647355,0.1770639790491897,0.0087028716342467,-0.688230408953934,0.2090892158530678,-0.5288943556158785,43.96204307345611,26.881720430107524,545,126,-0.4011444267449627,45.98855573255037,37.43279569892473,460,105,-0.2689495546156113,47.31050445384389,45.69892473118279,406,124,0.4125842276208419,54.12584227620842,67.40591397849462,237,65,-0.6724866437519181,43.27513356248082,27.1505376344086,533,118,687732,3.375426363636364,-6.81349958041958,2362.0846083916085,80.51446594405594,6.05853,5.975097132867133,1.8666890909090907,3,52.688396156279545,Tight High-Spin Breakers,1,86.96236559139786,170
"Barker, Alex",1000106691.0,NEW_YOR13,Slider,112,49,16,31,35,7,29,29,6,0,9,13,5,11,2381.88319,0.2707864860235722,0.3265306122448979,0.2767857142857143,0.2,0.2413793103448276,82.13390310344828,0.2068965517241379,0.0,0.3103448275862069,0.4482758620689655,0.1724137931034483,0.3793103448275862,0.7328777916969641,-0.0023847843341819,0.0027792265307476,-8.153138950601292e-05,0.2116807370718374,0.003073604302283,0.3271581375520687,0.0142879773413114,0.7325944082017997,-0.4314981064308599,0.3842237332040456,-0.0918360040392313,-0.7535608244918718,-0.0370382680845999,-0.0273713840348742,0.008315618069483,-0.5371614945653017,43.867663868323085,26.747311827956988,546,127,0.4792955250595316,54.79295525059531,70.83333333333334,218,46,0.3271581375520687,53.27158137552069,67.20430107526882,243,92,0.338070929099125,53.38070929099125,63.97849462365591,267,70,0.2915256790602206,52.91525679060221,62.16397849462365,282,55,1000106691,3.195995357142857,4.355420446428572,2209.7064419642857,81.37093276785716,6.007133125,6.111216428571429,-2.35920875,3,51.48247180608124,Tight High-Spin Breakers,1,76.74731182795699,171
"Serrano, Elio",665939.0,NEW_JER6,Slider,96,56,21,30,33,10,30,29,8,2,10,10,7,12,2355.10334,0.2616209331510282,0.375,0.3125,0.303030303030303,0.3333333333333333,81.21046,0.2758620689655172,0.0689655172413793,0.3448275862068966,0.3448275862068966,0.2413793103448276,0.4137931034482758,1.1690257842073837,-0.0038040099018108,0.5899679861088035,-0.0173073008404878,1.3428602339260656,0.0194983305966064,1.0608291432969046,0.0463295911752057,0.4656321486920419,-0.2742573355796127,1.218161146085843,-0.2911612226539999,1.5569559291273216,0.0765259408725369,0.3502623444903028,-0.1064121520925654,-0.5505881584241276,43.71438256141185,25.806451612903224,553,128,-0.3131004315645129,46.86899568435487,40.32258064516129,446,100,1.0608291432969046,60.60829143296905,85.48387096774194,111,41,-0.5560886531614656,44.439113468385344,24.93279569892473,560,118,0.0160935868281814,50.16093586828181,51.20967741935484,365,81,665939,5.5253709375,-2.340294166666667,2243.33620625,82.9141209375,5.33638125,5.769479166666667,1.955568958333333,3,50.93519718926983,Tight High-Spin Breakers,1,70.96774193548387,172
