pitcher_name,pitcher_id,pitcher_team,pitch_type,batter_side,pitch_count,batted_ball_count,final_pitch_score_20_80,final_pitch_score_0_100,overall_rank,pitch_type_rank,pitch_type_batter_side_rank,archetype,cluster,IVB,HB,velocity,spin_rate,extension,release_height,release_side,stuff_plus_raw,stuff_plus_20_80,stuff_plus_0_100,stuff_plus_rank,stuff_plus_pitch_type_rank,stuff_plus_model_type,stuff_plus_model_pitch_type
"Gilleran, Jimmy",10103730.0,NEW_ENG23,Four-Seam,R,63,30,44.43401400774003,22.98624754420432,1177,391,205,Soft-Speed Separation,0,16.281044356435643,13.949913267326734,88.44766673267327,2165.454650495049,5.646234752475248,5.619130396039603,1.0272177227722772,48.19009667440244,44.33126948814261,24.85265225933202,1148,386,pitch_type_specific,Four-Seam
"Gilleran, Jimmy",10103730.0,NEW_ENG23,Four-Seam,L,38,30,40.508365007484784,10.216110019646363,1372,458,220,Soft-Speed Separation,0,16.281044356435643,13.949913267326734,88.44766673267327,2165.454650495049,5.646234752475248,5.619130396039603,1.0272177227722772,48.19009667440244,44.33126948814261,24.85265225933202,1149,387,pitch_type_specific,Four-Seam
"Smith, Donny",1000381366.0,JOL_SLA,Four-Seam,R,30,19,47.45194400792252,40.66797642436149,907,284,157,Soft-Speed Separation,0,15.116155192307692,11.005012692307693,88.14957538461537,2198.374294230769,5.869839423076924,5.79728,2.464410576923077,48.17428812075066,44.2735338158666,24.75442043222004,1150,388,pitch_type_specific,Four-Seam
"Phelps, Travis",,FLO_Y'A,Four-Seam,R,35,18,47.87071159228938,42.50163719711853,879,277,153,Soft-Speed Separation,0,13.745428679245284,5.09526603773585,90.64341509433962,2091.526858490566,6.643895094339623,5.962806981132076,1.3575743396226416,48.16647836632984,44.24501119249898,24.688932547478718,1151,389,pitch_type_specific,Four-Seam
"Perez, Kelvin",692487.0,WAS_WIL3,Four-Seam,R,59,43,55.40449525129911,78.1925343811395,334,80,47,Soft-Speed Separation,0,15.445245984251969,10.879589763779526,89.14398700787402,2076.8326661417323,6.140838346456693,5.952267637795276,1.3169751181102365,48.14846726171852,44.17923140922001,24.590700720366733,1152,390,pitch_type_specific,Four-Seam
"Perez, Kelvin",692487.0,WAS_WIL3,Four-Seam,L,68,43,52.29660499466065,65.16044531761625,533,141,58,Soft-Speed Separation,0,15.445245984251969,10.879589763779526,89.14398700787402,2076.8326661417323,6.140838346456693,5.952267637795276,1.3169751181102365,48.14846726171852,44.17923140922001,24.590700720366733,1153,391,pitch_type_specific,Four-Seam
"Heredia-Bustos, Rolando",837343.0,DOW_EAS1,Curveball,R,40,18,63.29632237997107,95.61231172233136,68,7,4,Tight High-Spin Breakers,1,5.573646266666667,-11.022328666666668,73.73444946666666,2220.1646626666666,5.050011733333333,5.438483333333334,1.8475796,48.13736038909969,44.138667119047895,24.459724950884087,1154,145,pitch_type_specific,Curveball
"Heredia-Bustos, Rolando",837343.0,DOW_EAS1,Curveball,L,35,18,58.56883144024114,87.16437459070072,197,29,10,Tight High-Spin Breakers,1,5.573646266666667,-11.022328666666668,73.73444946666666,2220.1646626666666,5.050011733333333,5.438483333333334,1.8475796,48.13736038909969,44.138667119047895,24.459724950884087,1155,146,pitch_type_specific,Curveball
"Lawson, Nathan",1000569348.0,FLO_Y'A,Four-Seam,R,39,29,44.16385644083552,21.74197773411919,1196,401,209,Soft-Speed Separation,0,14.606264,8.43140075,88.834458,2239.1913225,6.100744125,5.608443125,1.657943375,48.11198086952429,44.04597656322573,24.32874918140144,1156,392,pitch_type_specific,Four-Seam
"Lawson, Nathan",1000569348.0,FLO_Y'A,Four-Seam,L,41,29,43.01643661190859,17.812704649639816,1256,427,204,Soft-Speed Separation,0,14.606264,8.43140075,88.834458,2239.1913225,6.100744125,5.608443125,1.657943375,48.11198086952429,44.04597656322573,24.32874918140144,1157,393,pitch_type_specific,Four-Seam
