pitcher_name,pitcher_id,pitcher_team,pitch_type,pitch_count,swing_count,whiff_count,csw_count,two_strike_pitch_count,strikeout_count,terminal_pa_count,batted_ball_count,hardhit_count,barrel_count,sweetspot_count,exit_velocity_sum,xwoba_frontier,whiff_pct,csw_pct,putaway_pct,k_pct,avg_exit_velocity,hardhit_pct,barrel_pct,sweetspot_pct,whiff_pct_z,whiff_pct_score_component,csw_pct_z,csw_pct_score_component,putaway_pct_z,putaway_pct_score_component,k_pct_z,k_pct_score_component,avg_exit_velocity_z,avg_exit_velocity_score_component,hardhit_pct_z,hardhit_pct_score_component,barrel_pct_z,barrel_pct_score_component,sweetspot_pct_z,sweetspot_pct_score_component,pitch_value_raw,pitch_value_20_80,pitch_value_0_100,overall_rank,pitch_type_rank,pitcher_id_key,ivb,hb,spin_rate,velocity,extension,release_height,release_side
"Hensey, Rob",802996.0,SUS_COU1,Sinker,269,133,23,72,71,14,72,100,16,1,36,7643.11995,0.2237432709219941,0.1729323308270676,0.2676579925650557,0.1971830985915492,0.1944444444444444,76.4311995,0.16,0.01,0.36,-0.5967533547534951,0.0019418354163678,-0.1792001068439528,0.0052570143343742,0.1561867899120224,0.0022678321895225,-0.0141710368650161,-0.0006188916930058,-0.930311228885869,0.5479533138137769,-0.2195347957618961,0.0524725482786211,-0.4065802988800804,-0.0199838282702548,0.4917231842540618,-0.1493889454386737,0.4399008786307282,54.9442292184231,71.47887323943662,163,20,802996,13.928060855018588,-16.401263345724907,2136.438720446097,91.69517609665427,6.359515055762082,5.7726204089219335,-2.4411836802973976
"Noriega, Branden",804447.0,LAK_ERI24,Curveball,90,34,21,39,29,13,23,10,0,0,4,788.15459,0.2442641054923471,0.6176470588235294,0.4333333333333333,0.4482758620689655,0.5652173913043478,78.815459,0.0,0.0,0.4,3.337430421716941,-0.0108599985922669,2.519580820607392,-0.0739144229533384,2.791935219754082,0.0405388993908292,3.0543287816949403,0.1333917008829631,-0.2776586538736355,0.1635409471315713,-2.0504840237295245,0.4901005398997597,-0.7302129662931038,-0.0358906975062723,0.9054205553445108,-0.2750731026575498,0.4318338655956959,54.85356069855708,71.30281690140845,164,12,804447,-10.345346222222222,8.582328777777777,2837.1505044444443,79.16781844444444,5.233967222222223,5.792684666666667,-1.0318277777777778
"Moore, Kyle",1000517760.0,SCH_BOO,Four-Seam,123,58,8,37,29,8,36,48,4,0,19,3697.59608,0.2209402079356469,0.1379310344827586,0.3008130081300813,0.2758620689655172,0.2222222222222222,77.03325166666666,0.0833333333333333,0.0,0.3958333333333333,-0.9063934983430504,0.0029494044436082,0.3608810135045037,-0.0105868054121681,0.9820886189921262,0.0142599267477656,0.2157165716915932,0.0094209898354869,-0.7655091606266526,0.4508848956090984,-1.0968646341630517,0.2621692942637501,-0.7302129662931038,-0.0358906975062723,0.8623270791892554,-0.2619810029472501,0.4312260050340188,54.84672870049623,71.12676056338029,165,43,1000517760,17.633853170731708,15.186326422764227,2170.780971544715,88.41119219512194,4.640771951219512,6.2781023577235775,1.7906917073170732
"Calderon, Jean",703300.0,LAK_ERI24,Four-Seam,87,30,4,17,18,2,20,25,5,2,8,1930.59119,0.2417901878106426,0.1333333333333333,0.1954022988505747,0.1111111111111111,0.1,77.2236476,0.2,0.08,0.32,-0.9470672159701228,0.0030817567207667,-1.356214665511123,0.0397859134274343,-0.7473203550692968,-0.0108510915556061,-0.7957889059574866,-0.0347544888898813,-0.7133913453628914,0.420187502418743,0.238202511230011,-0.0569344496266635,1.858848373011084,0.0913642563818677,0.0780258131636131,-0.0237047882197978,0.428174610656863,54.81243280801375,70.95070422535211,166,44,703300,12.021461494252874,0.7859933333333332,2525.7951379310343,94.05460057471264,6.383003908045977,6.249977241379311,1.5420213793103448
"Turner, Eric",1000080978.0,JOL_SLA,Sinker,75,41,8,17,11,3,25,29,5,0,10,2219.02833,0.2286448143636661,0.1951219512195122,0.2266666666666666,0.2727272727272727,0.12,76.51821827586207,0.1724137931034483,0.0,0.3448275862068966,-0.400452132738002,0.0013030712399294,-0.8469313939052125,0.0248455793716033,0.949182317160091,0.0137821272451645,-0.6302698277967281,-0.0275257741893665,-0.9064912427892264,0.5339233420028544,-0.0774783901437179,0.018518652376981,-0.7302129662931038,-0.0358906975062723,0.3348034917714781,-0.1017156444246174,0.4272406561162764,54.80193570388744,70.77464788732394,167,21,1000080978,15.413445866666667,15.810545466666666,2312.5603533333333,88.44918,5.109667466666666,5.789810133333334,2.4798443999999997
"Kaminer, Brandon",690510.0,DOW_EAS1,Slider,99,41,7,28,27,6,29,27,2,0,12,2059.66168,0.2131149603612769,0.1707317073170731,0.2828282828282828,0.2222222222222222,0.2068965517241379,76.28376592592593,0.074074074074074,0.0,0.4444444444444444,-0.6162212445401556,0.0020051839297336,0.0679174776827686,-0.0019924271253017,0.4190252320884074,0.0060842463699236,0.0888820290396708,0.0038817448542495,-0.9706687913754805,0.571723918120158,-1.2028223441148824,0.2874949882233069,-0.7302129662931038,-0.0358906975062723,1.3650843010005649,-0.4147221662340785,0.4185847906317191,54.704648826051,70.59859154929578,168,56,690510,5.597667272727272,3.2327527272727274,2498.5430494949496,84.25531434343435,5.270993434343434,5.957274343434344,-1.3869174747474748
"Burcham, Jacob",1000122547.0,GAT_GRI,Sinker,152,62,11,40,28,2,32,39,4,0,12,3045.15424,0.2402490084278744,0.1774193548387097,0.2631578947368421,0.0714285714285714,0.0625,78.08087794871794,0.1025641025641025,0.0,0.3076923076923077,-0.5570587461427904,0.0018126691599486,-0.2525047889658046,0.0074074804891008,-1.1638723504827628,-0.0168994265290097,-1.106137177508909,-0.0483083289533465,-0.4787383663270965,0.2819768977666598,-0.8767986211861736,0.2095697760400556,-0.7302129662931038,-0.0358906975062723,-0.0492656856334479,0.0149672601552409,0.4146356306223772,54.66026257165844,70.4225352112676,169,22,1000122547,6.618497960526316,15.60736414473684,2281.7271361842104,91.28026894736843,6.615918157894737,4.916381842105263,3.0074723684210527
"Milburn, Isaac",830926.0,FLO_Y'A,Curveball,134,34,10,44,46,7,25,15,1,0,5,1178.13386,0.2494152021373476,0.2941176470588235,0.3283582089552239,0.1521739130434782,0.28,78.54225733333332,0.0666666666666666,0.0,0.3333333333333333,0.4753166151648533,-0.0015466802657464,0.8095806346127863,-0.0237498574970007,-0.316279594597972,-0.0045923797135625,0.6938827974893405,0.0303039434147519,-0.3524432028070223,0.2075890464533361,-1.2875885120763468,0.3077555433909522,-0.7302129662931038,-0.0358906975062723,0.2159249368604291,-0.0655995072927564,0.4142694109837019,54.656146476588255,70.24647887323944,170,13,830926,-9.395589029850745,13.731104029850746,2595.2375619402983,76.73000753731343,4.993009179104478,5.8049012686567165,-1.6718300746268657
"Milburn, Isaac",830926.0,FLO_Y'A,Slider,149,51,17,54,49,9,33,26,3,2,11,1993.11447,0.2238746176092944,0.3333333333333333,0.3624161073825503,0.1836734693877551,0.2727272727272727,76.65824884615384,0.1153846153846153,0.0769230769230769,0.4230769230769231,0.8222395008075307,-0.0026755673356277,1.3643693332719349,-0.0400251387608654,0.0143747222581836,0.0002087209671888,0.6336940417945188,0.027675319887292,-0.8681601331590224,0.5113463184306641,-0.7300879458682551,0.1745034305575927,1.759269090730153,0.0864698350784777,1.1440921155890005,-0.3475831933607474,0.4099197254639747,54.60725854914304,70.07042253521126,171,57,830926,-1.7048757046979865,15.964367583892619,2654.610244295302,78.59784832214766,4.850697583892617,5.453786174496645,-1.99648677852349
"Leak, Anthony",1000264276.0,NEW_YOR13,Sinker,81,33,4,25,15,1,20,25,4,0,10,1881.7364,0.2333947618961839,0.1212121212121212,0.3086419753086419,0.0666666666666666,0.05,75.269456,0.16,0.0,0.4,-1.054297926077859,0.0034306854514573,0.4884115633447091,-0.0143280416222803,-1.2138585899323793,-0.0176252267258181,-1.2095866013593832,-0.0528262756411683,-1.2483197706485107,0.7352603449119728,-0.2195347957618961,0.0524725482786211,-0.7302129662931038,-0.0358906975062723,0.9054205553445108,-0.2750731026575498,0.3954202344889622,54.44429273022023,69.8943661971831,172,23,1000264276,9.854961604938271,14.194354691358024,2119.151135802469,89.06783901234567,6.381678024691358,5.571517530864197,1.7064228395061727
