pitcher_name,pitcher_id,pitcher_team,pitch_type,batter_side,pitch_count,batted_ball_count,raw_pitch_score_20_80,raw_pitch_score_0_100,split_batted_ball_count,split_terminal_pa_count,split_strikeout_count,split_groundball_count,split_line_drive_count,split_flyball_count,k_pct,groundball_pct,line_drive_pct,flyball_pct,groundball_score_20_80,groundball_score_0_100,groundball_score_rank,groundball_score_pitch_type_rank,strikeout_score_20_80,strikeout_score_0_100,strikeout_score_rank,strikeout_score_pitch_type_rank,line_drive_score_20_80,line_drive_score_0_100,line_drive_score_rank,line_drive_score_pitch_type_rank,flyball_score_20_80,flyball_score_0_100,flyball_score_rank,flyball_score_pitch_type_rank,location_score_20_80,location_score_0_100,final_pitch_score_20_80,final_pitch_score_0_100,overall_rank,pitch_type_rank,pitch_type_batter_side_rank,platoon_gap,better_side,platoon_category,IVB,HB,velocity,spin_rate,extension,release_height,release_side,movement_quality_20_80,movement_quality_0_100,archetype,cluster,stuff_plus_raw,stuff_plus_20_80,stuff_plus_0_100,execution_raw,execution_plus_20_80,execution_plus_0_100,quadrant_label
"Drakeford, Dosie",836144.0,NEW_JER6,Changeup,L,66,15,64.68916158182398,92.68841394825648,10,17,9,4,2,4,0.5294117647058824,0.4,0.2,0.4,50.8886023297018,56.41998734977862,674,74,72.89907501610892,97.24857685009488,44,3,50.04299582168851,48.45034788108792,799,64,50.8789048415484,54.71220746363061,702,67,53.48785758235205,68.4152401987852,61.3287703819824,93.16888045540796,109,17,11,,,,9.920160476190476,14.791810357142856,81.03244654761905,1849.503775,6.110769523809523,5.756659404761905,1.1500441666666663,52.19347581552306,53.655793025871766,Soft-Speed Separation,0,50.09740748158044,51.43339746993417,60.65781151170145,11.231362900401962,65.93781412824684,94.6236559139785,Elite Weapon
"Coles, Chad",694311.0,WAS_WIL3,Splitter,L,38,11,67.51983879968711,95.50056242969627,8,11,5,5,0,3,0.4545454545454545,0.625,0.0,0.375,65.05044267347787,92.662871600253,118,5,67.74289856393054,93.9911448450348,94,7,68.88678134845027,96.39468690702088,62,1,52.48725786922648,60.78431372549019,621,8,46.64400560302165,41.68967421314191,61.257088840687466,93.1056293485136,110,3,3,-1.6231229762884567,Balanced,Balanced Weapon,2.295153015873016,7.1285719047619045,86.19068015873016,1031.1558957142856,5.594046349206349,6.178649206349207,1.3745484126984129,22.227221597300336,3.712035995500562,Soft-Speed Separation,0,50.53199945220668,53.00109685446165,68.15306767868438,10.725089388480782,65.21938901790108,93.92789373814044,Elite Weapon
"Good, Ty",688612.0,GAT_GRI,Slider,R,157,34,62.30160770200641,89.0888638920135,26,38,14,14,2,10,0.3684210526315789,0.5384615384615384,0.0769230769230769,0.3846153846153846,59.60358100279477,84.53510436432637,244,25,61.81135723172532,86.87539531941809,208,42,61.63917153046498,88.74130297280203,175,22,51.86866055088876,58.69702719797596,648,77,58.692624129372746,81.88845941468801,61.21891263021631,93.04237824161925,111,55,45,6.352988719849591,RHH,Right-Handed Killer,3.8073726943005184,-0.2404033160621762,79.20516082901554,2042.167230569948,5.826883626943005,6.848598704663212,0.1660179792746113,68.66141732283464,81.10236220472441,Tight High-Spin Breakers,1,52.10299122415073,58.66812017849025,82.89057558507274,9.11592140606558,62.935906556129545,90.57558507273878,Elite Weapon
"Mannering, Shawn",1000457814.0,DOW_EAS1,Sinker,L,27,15,63.14951121588304,90.10123734533182,3,9,1,1,1,1,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,46.692501487101474,39.59519291587603,935,83,44.08996214044553,31.27767235926629,1072,69,37.48047213718067,9.898798228969008,1404,121,55.16784624868994,70.14547754585705,449,48,56.712523860494265,76.97404748757593,61.2184150092664,92.97912713472486,112,7,2,-0.285654953379769,Balanced,Balanced Weapon,13.51220661016949,18.55734440677966,89.13675237288136,2231.0259694915253,5.822554406779661,5.100436271186441,1.920502372881356,30.46119235095613,17.435320584926885,Soft-Speed Separation,0,47.8040119675371,43.16045416022916,19.892473118279568,13.4144030417293,69.03564725104012,96.71094244149272,Command/Deception Weapon
"Foy, Corbin",813822.0,LAK_ERI24,Four-Seam,R,47,19,65.69787968290227,93.25084364454445,10,15,4,3,3,4,0.2666666666666666,0.3,0.3,0.4,44.59445106580132,31.562302340290955,1086,131,54.80335099108285,73.33965844402277,424,43,40.62110305830763,15.68627450980392,1334,232,50.8789048415484,54.71220746363061,710,49,50.40138241283768,57.31639977912756,61.10893050188289,92.91587602783048,113,16,11,2.375431805650159,Balanced,Balanced Weapon,16.460386315789474,10.398229894736843,91.29729484210526,2336.5153231578947,6.149718105263157,5.303276947368421,1.8389270526315789,31.8785151856018,19.797525309336333,Soft-Speed Separation,0,49.66847970625695,49.88613048197664,51.58127767235927,11.440450795625935,66.23451934916235,94.8134092346616,Command/Deception Weapon
"Majick, Eli",828663.0,NEW_ENG23,Cutter,R,60,28,66.43766672291933,94.37570303712036,21,19,3,8,4,9,0.1578947368421052,0.3809523809523809,0.1904761904761904,0.4285714285714285,49.68971637467313,51.58127767235927,766,20,47.31203397522367,45.98355471220746,855,21,50.9403189420105,52.972802024035424,744,17,49.0407870956306,47.34345351043643,833,22,48.372722098590735,49.42020982882385,61.01818333562075,92.85262492093612,114,3,2,0.6079533575524465,Balanced,Balanced Weapon,5.806216136363637,-1.0998145454545456,82.77824363636364,2492.95405,5.761350681818182,5.662654659090909,-3.560855113636364,65.96175478065243,76.6029246344207,Tight High-Spin Breakers,1,53.9805216297433,65.44091733127185,92.75774826059455,7.037661705877447,59.9867616388516,84.0607210626186,Elite Weapon
"Earwood, Micah",1000112366.0,SUS_COU1,Four-Seam,R,95,12,65.49938537748659,93.02587176602924,12,2,0,6,3,3,0.0,0.5,0.25,0.25,57.18275359360228,77.73561037318153,342,16,36.43754153284743,5.534471853257432,1472,251,45.33204943999807,28.55787476280835,1122,194,60.52902300761687,85.23086654016446,228,12,50.42780681319592,57.53727222528989,60.97791180819939,92.78937381404174,115,17,12,,,,18.70146489583333,2.6068289583333333,80.73943208333334,2065.884659375,5.649489583333334,5.911652395833333,0.2328810416666666,56.51293588301462,60.8548931383577,Soft-Speed Separation,0,48.22147774599136,44.66637439847232,24.794433902593298,12.75643406220803,68.10195938156642,96.01518026565464,Command/Deception Weapon
"Shears, Tanner",808632.0,SCH_BOO,Four-Seam,R,143,43,62.79186332583136,89.76377952755905,29,30,7,8,7,14,0.2333333333333333,0.2758620689655172,0.2413793103448276,0.4827586206896552,43.075173174514994,26.31246046805819,1166,150,52.50762480880343,66.12903225806451,538,66,46.144281574772286,32.03668564199874,1076,184,45.55470171544165,33.55471220746363,1051,118,56.71744727837407,77.02926559911651,60.969538511594166,92.72612270714735,116,18,13,1.0451954729632575,Balanced,Balanced Weapon,16.83162575,12.353895875,92.27773833333336,2039.42414,5.175868368200836,5.817564291666667,2.4461177083333334,21.214848143982003,2.0247469066366706,Soft-Speed Separation,0,49.65688786045455,49.84431532946988,51.45477545857052,11.312650651139611,66.05316513895218,94.68690702087288,Command/Deception Weapon
"Majick, Eli",828663.0,NEW_ENG23,Curveball,R,34,14,62.9798330097686,89.98875140607424,9,10,3,3,2,4,0.3,0.3333333333333333,0.2222222222222222,0.4444444444444444,46.692501487101474,39.59519291587603,937,74,57.09907717336228,79.06388361796331,326,37,47.94924187427054,38.58317520556609,960,53,48.01961057012071,43.3270082226439,890,73,55.97439593980715,74.93097736057427,60.87820188878017,92.59962049335864,118,14,11,,,,-1.0043090384615383,4.532636730769231,77.03830807692307,2168.536096153846,5.675356153846153,5.483793076923077,-3.545516346153846,71.83352080989876,86.38920134983127,Tight High-Spin Breakers,1,49.91039291087966,50.75878162978687,57.1157495256167,10.96780897790051,65.5638191405639,94.30740037950665,Elite Weapon
"Thompson, Ross",1000103401.0,SCH_BOO,Slider,R,196,65,52.59541111231572,62.429696287964006,55,53,12,21,13,21,0.2264150943396226,0.3818181818181818,0.2363636363636363,0.3818181818181818,49.7442111908108,51.802656546489565,763,91,52.031153337009584,64.51612903225806,562,108,46.61685299864092,32.95382669196711,1061,125,52.04861613440518,59.39278937381404,643,73,80.0,99.55825510767532,60.816787778621006,92.53636938646429,119,56,46,16.815462466673054,RHH,Right-Handed Killer,3.5324036771300444,-2.261990852017937,79.84828094170403,2054.007332959641,5.248015470852018,5.233253183856503,2.7367689686098657,65.69178852643421,76.15298087739033,Tight High-Spin Breakers,1,51.9714750045097,58.19370299979842,80.99304237824163,8.845312774111306,62.55190061528046,89.87982289690069,Elite Weapon
"Bice, Emmett",828456.0,NEW_YOR13,Slider,R,133,81,56.970240841676926,77.84026996625421,26,36,12,10,4,12,0.3333333333333333,0.3846153846153846,0.1538461538461538,0.4615384615384615,49.9202713660248,52.62492093611638,743,87,59.39480335564171,83.39658444022771,242,52,54.391561712479685,68.943706514864,482,66,46.919882004186974,38.55154965211891,965,114,69.76158993206023,95.63776918829376,60.80764556879191,92.47311827956987,120,57,47,9.05951158356251,RHH,Right-Handed Killer,2.0523036996337,-2.6018112454212456,82.82060106227105,2380.160267765568,5.660225970695971,6.025641391941392,1.491862673992674,63.532058492688414,72.55343082114736,Tight High-Spin Breakers,1,52.74165542854779,60.97196734508712,86.62239089184061,8.065990140244125,61.44600639793072,87.4762808349146,Elite Weapon
"Whitesell, Max",1000223610.0,FLO_Y'A,Slider,R,116,49,55.80374408958668,74.24071991001125,36,35,10,13,4,19,0.2857142857142857,0.3611111111111111,0.1111111111111111,0.5277777777777778,48.44087683818494,46.74256799493991,843,104,56.11519452381396,76.85009487666035,354,69,58.418011611360406,82.28969006957621,268,34,42.658433811193774,23.94054395951929,1203,143,72.20922006343685,97.073440088349,60.72538688174173,92.40986717267552,121,58,48,8.588074037761949,RHH,Right-Handed Killer,6.205397901234568,-4.557691604938272,80.28336913580247,2078.0626444444447,6.299646111111112,5.043117839506173,2.938813086419753,69.87626546681665,83.12710911136108,Tight High-Spin Breakers,1,56.278767409838,73.73135695848259,98.38709677419357,4.44661947190373,56.30995501353701,74.76280834914611,Elite Weapon
"Messina, Chris",10179238.0,FDU_KNI,Changeup,R,52,16,66.34774746864952,94.15073115860515,11,12,1,6,0,5,0.0833333333333333,0.5454545454545454,0.0,0.4545454545454545,60.04373144082977,85.26249209361164,234,20,42.17685698854601,21.695129664769134,1238,70,68.88678134845027,96.39468690702088,58,5,47.369770962978045,40.575585072738775,942,65,47.35195829595274,44.94754279403645,60.64901071684048,92.28336495888678,123,18,7,,,,11.89090161764706,-17.96177794117647,79.82614985294117,1836.169319117647,5.177092058823529,5.326267647058823,-1.3016126470588234,70.4161979752531,84.02699662542183,Tight High-Spin Breakers,1,51.22893956763527,55.51516214755837,75.2055660974067,9.420071149205206,63.367508857319535,91.3345983554712,Elite Weapon
"Harris, Ben",1000390130.0,GAT_GRI,Curveball,R,163,26,64.07920414632878,91.90101237345333,14,28,15,8,4,2,0.5357142857142857,0.5714285714285714,0.2857142857142857,0.1428571428571428,61.67857592495976,87.6976597090449,192,24,73.33314089090966,97.53320683111954,40,6,41.96708773879061,18.59582542694497,1287,72,67.42196455480862,95.9203036053131,61,7,51.99270678789586,63.61126449475428,60.4532549387989,92.15686274509804,125,15,12,2.7798884177486585,Balanced,Balanced Weapon,-14.066896510791366,-6.9709584172661865,77.63893913669065,2163.410819784173,4.964961223021582,6.4855712949640285,0.6170319784172662,68.79640044994376,81.3273340832396,Tight High-Spin Breakers,1,51.73002450184121,57.32272095224285,79.34851359898798,8.723230436957692,62.37866023340065,89.50031625553447,Elite Weapon
"Willeman, Landon",812254.0,EVA_OTT,Changeup,L,127,57,61.01266581460269,87.4015748031496,40,37,6,21,4,15,0.1621621621621621,0.525,0.1,0.375,58.7562914095774,82.60594560404807,276,33,47.60593917636898,47.21695129664769,835,56,59.46488858506939,84.6932321315623,239,22,52.48725786922648,60.78431372549019,611,55,58.77176903403961,82.05411374930978,60.34039678043376,92.0303605313093,127,19,12,-4.990029924933637,LHH,Balanced Weapon,6.19820374301676,14.51529430167598,83.98866418994413,1696.166151396648,6.234432625698324,5.368005921787709,2.078387597765363,41.79977502812148,36.33295838020247,Soft-Speed Separation,0,49.710386975490536,50.037302166281016,52.71979759645794,10.63000980494322,65.08446676997349,93.80139152435169,Elite Weapon
"Campbell, Tyler",809429.0,MIS_MUD,Changeup,R,90,33,63.55045365064245,91.00112485939258,25,18,3,6,2,17,0.1666666666666666,0.24,0.08,0.68,40.81796030746103,18.848829854522453,1285,84,47.91617244424457,48.98798228969007,800,47,61.34926713774557,88.04554079696395,190,16,32.86535093155392,3.6053130929791273,1525,87,52.69099575186632,65.70955273329652,60.29261628100961,91.96710942441491,128,20,8,3.7237823627899473,RHH,Balanced Weapon,11.602043739130435,-7.858329652173912,74.64893391304348,1846.979243478261,6.346342608695652,4.650123913043478,-2.435757391304348,78.92013498312711,98.20022497187853,Tight High-Spin Breakers,1,54.40507818013865,66.97241604210359,94.97153700189752,5.887538100870955,58.35468400022,79.5066413662239,Elite Weapon
"Foster, Kobe",816330.0,WAS_WIL3,Four-Seam,L,180,159,58.58471141976517,82.45219347581553,80,51,10,6,18,56,0.196078431372549,0.075,0.225,0.7,30.43261072202523,1.0120177103099304,1566,249,49.94181319331466,56.103731815306766,695,80,47.68752263084329,37.00189753320683,995,152,31.57866850941146,2.8779253636938646,1535,240,64.27334097375613,91.49641082274988,60.29130028596246,91.90385831752056,129,19,6,-1.026249820945175,Balanced,Balanced Weapon,20.646588299319728,-9.807966371882086,86.66293326530612,2207.132843537415,5.718578866213152,6.186918344671201,-1.2161994331065755,52.80089988751406,54.668166479190106,Soft-Speed Separation,0,50.25925951525287,52.0172447352372,63.409234661606575,10.032040770709584,64.23592154829592,92.59962049335864,Elite Weapon
"Earwood, Micah",1000112366.0,SUS_COU1,Changeup,R,197,29,63.70127038272371,91.33858267716536,26,3,0,12,4,10,0.0,0.4615384615384615,0.1538461538461538,0.3846153846153846,54.76192618440979,71.06261859582543,454,45,36.43754153284743,5.534471853257432,1461,81,54.391561712479685,68.943706514864,490,37,51.86866055088876,58.69702719797596,652,52,52.2770187380887,64.77084483710657,60.27399488933321,91.7773561037318,131,21,9,,,,8.681058436018958,5.277312227488151,78.9576079620853,1835.2176439336488,6.202669099526066,5.501529526066351,0.668744691943128,56.17547806524185,60.29246344206975,Soft-Speed Separation,0,52.402353583161485,59.74800710160942,84.6932321315623,7.871641306171725,61.17021657429529,86.8437697659709,Elite Weapon
"Petschke, Ben",814386.0,EVA_OTT,Sinker,R,42,13,60.38717531124245,85.8267716535433,10,11,1,5,2,3,0.0909090909090909,0.5,0.2,0.3,57.18275359360228,77.73561037318153,311,46,42.698612939064056,24.003795066413662,1192,69,50.04299582168851,48.45034788108792,786,73,57.31231695226072,76.5022137887413,363,49,59.99198881111344,84.2076200993926,60.26861936120375,91.71410499683743,132,10,7,,,,6.468652777777778,13.088656851851852,89.98394870370372,2109.943116666667,5.271904814814815,5.747767962962963,2.0461435185185186,23.64454443194601,6.074240719910011,Soft-Speed Separation,0,43.62865246598581,28.09872048086379,2.213788741302973,16.63996689521794,73.61286887690831,98.67172675521822,Command/Deception Weapon
"Garbrick, Alex",687885.0,LAK_ERI24,Four-Seam,R,43,32,63.20993754025567,90.32620922384702,12,11,2,5,2,5,0.1818181818181818,0.4166666666666667,0.1666666666666666,0.4166666666666667,51.93762754035188,60.94244149272612,615,39,48.95968434528068,53.19418089816572,739,100,53.18362674281547,63.725490196078425,557,84,49.80666948976301,50.56925996204934,779,59,53.18002657110389,67.47653230259525,60.200964249510136,91.65085388994308,133,20,14,5.471061262781788,RHH,Right-Handed Killer,15.230078536585363,10.696731707317074,91.38204219512195,2266.2687548780486,5.607378292682927,5.639006219512195,1.6800778048780487,26.88413948256468,11.473565804274466,Soft-Speed Separation,0,49.079752476581305,47.76242047811456,39.4370651486401,11.121211772928833,65.78150467486601,94.56040480708413,Command/Deception Weapon
"Heredia-Bustos, Rolando",837343.0,DOW_EAS1,Slider,R,267,152,55.440796414403145,73.22834645669292,86,79,20,21,18,47,0.2531645569620253,0.2441860465116279,0.2093023255813953,0.5465116279069767,41.08143640688012,19.607843137254903,1272,154,53.87343658813423,71.5370018975332,451,84,49.166540680908895,44.59203036053131,877,105,41.4532080281792,19.481340923466163,1274,151,71.23833216923958,96.52125897294312,60.18005714085408,91.58760278304872,134,59,49,11.186680236391268,RHH,Right-Handed Killer,6.677663585746103,-3.89654434298441,78.51777966592428,2320.950694432071,5.257680935412027,5.485934966592428,1.6842910913140312,73.85826771653544,89.76377952755905,Tight High-Spin Breakers,1,54.17185555586409,66.13111434017324,93.7697659709045,6.00820158498999,58.525910965193866,80.01265022137888,Elite Weapon
"O'Dell, Casey",1000220727.0,JOL_SLA,Four-Seam,R,66,42,54.06325695670845,68.61642294713161,22,15,2,7,1,14,0.1333333333333333,0.3181818181818182,0.0454545454545454,0.6363636363636364,45.73884220469231,35.86337760910816,1012,107,45.62044626196514,38.931056293485135,955,142,64.60410281964079,92.50474383301707,119,8,35.672658034410205,7.432005060088552,1461,232,74.24695180237674,97.79127553837658,60.11836541040893,91.52435167615434,135,21,15,5.196208941047985,RHH,Right-Handed Killer,17.751662992125986,8.946882598425196,91.11885732283466,2223.233094488189,6.045609055118111,5.978203543307087,1.223929842519685,31.06861642294713,18.447694038245217,Soft-Speed Separation,0,49.80327247569223,50.37236712684134,54.743833017077804,10.315092934716697,64.63758542636202,93.35863377609108,Elite Weapon
