pitcher_name,pitcher_id,pitcher_team,pitch_type,split_pitch_count_vs_rhh,split_pitch_count_vs_lhh,pitch_value_20_80_vs_rhh,pitch_value_20_80_vs_lhh,location_score_20_80_vs_rhh,location_score_20_80_vs_lhh,final_pitch_score_vs_rhh,final_pitch_score_vs_lhh,final_pitch_score_0_100_vs_rhh,final_pitch_score_0_100_vs_lhh,platoon_gap,absolute_platoon_gap,average_final_pitch_score,minimum_final_pitch_score,pitch_type_median_gap,stronger_side,platoon_category,right_handed_killer_rank,left_handed_killer_rank,balanced_rank
"Westcott, Zac",686170.0,FLO_Y'A,Four-Seam,207.0,118.0,53.42046462822166,53.42046462822166,60.71294737509049,46.35695787200807,55.60820945228231,51.30141260135758,78.7819253438114,60.37982973149967,4.3067968509247265,4.3067968509247265,53.45481102681995,51.30141260135758,1.4124000278825655,RHH,Balanced Weapon,130,545,
"Zeplin, Blane",830954.0,JOL_SLA,Slider,77.0,31.0,53.084639717420906,53.084639717420906,65.70236647964481,51.38240110072845,56.86995774608808,52.57396813241317,82.90766208251473,66.33922724296005,4.295989613674912,4.295989613674912,54.72196293925063,52.57396813241317,5.094112081866381,RHH,Balanced Weapon,131,544,
"Hopewell, Chase",803045.0,FLO_Y'A,Four-Seam,133.0,120.0,54.33171535937427,54.33171535937427,61.66542660326567,47.39088577801295,56.53182873254168,52.24946648496587,81.9253438113949,64.96398166339226,4.282362247575811,4.282362247575811,54.39064760875378,52.24946648496587,1.4124000278825655,RHH,Balanced Weapon,132,543,
"Shinn, Nathan",1000490914.0,LAK_ERI24,Four-Seam,149.0,101.0,55.24054305725065,55.24054305725065,44.99208594334757,59.21078418691556,52.16600592307972,56.43161539615012,64.44007858546169,81.46692861820564,-4.265609473070398,4.265609473070398,54.29881065961492,52.16600592307972,1.4124000278825655,LHH,Balanced Weapon,616,59,
"Sanders, Brayden",695550.0,MIS_MUD,Four-Seam,108.0,99.0,45.05006758805798,45.05006758805798,59.183283251583,44.98712579066462,49.29003228711548,45.031185048839966,49.90176817288802,25.867714472822527,4.258847238275514,4.258847238275514,47.160608667977726,45.031185048839966,1.4124000278825655,RHH,Balanced Weapon,133,542,
"Misla, Luis",695417.0,TRI_VAL,Four-Seam,164.0,116.0,45.25819784717079,45.25819784717079,40.1430516112352,54.29179688855809,43.72365397639011,47.96827755958698,20.23575638506876,42.82907662082515,-4.244623583196869,4.244623583196869,45.845965767988545,43.72365397639011,1.4124000278825655,LHH,Balanced Weapon,615,60,
"Wiltse, Ryan",813813.0,EVA_OTT,Curveball,40.0,91.0,61.57020128208399,61.57020128208399,57.8329308137037,43.692606447968416,60.4490201415699,56.20692283184932,91.94499017681729,80.94302554027504,4.2420973097205845,4.2420973097205845,58.327971486709615,56.20692283184932,1.825739027824227,RHH,Balanced Weapon,134,541,
"Thiels, Brenton",816364.0,MIS_MUD,Slider,39.0,47.0,36.34172757158134,36.34172757158134,65.92820083752098,51.79459418568462,45.21766955136323,40.97758755581232,27.308447937131632,11.787819253438114,4.240081995550909,4.240081995550909,43.097628553587775,40.97758755581232,5.094112081866381,RHH,Balanced Weapon,135,540,
"Delaney, Carter",1000039247.0,WIN_CIT29,Four-Seam,73.0,77.0,53.430445621091344,53.430445621091344,61.1981897852975,47.09518267252887,55.76076887035319,51.5298667365226,79.6332678454486,61.68958742632613,4.23090213383059,4.23090213383059,53.64531780343789,51.5298667365226,1.4124000278825655,RHH,Balanced Weapon,136,539,
"Gartland, Chad",1000103698.0,TRI_VAL,Slider,58.0,27.0,36.95791526233468,36.95791526233468,61.99254469081832,47.94624029766193,44.46830409087977,40.25441277293285,23.248199083169613,9.430255402750491,4.213891317946917,4.213891317946917,42.36135843190631,40.25441277293285,5.094112081866381,RHH,Balanced Weapon,137,538,
"Kaminer, Brandon",690510.0,DOW_EAS1,Slider,88.0,45.0,48.29659889179508,48.29659889179508,40.16691434652524,54.19059665410673,45.85769352821413,50.06479822048857,31.368696791093647,53.50360183366077,-4.2071046922744415,4.2071046922744415,47.96124587435135,45.85769352821413,5.094112081866381,LHH,Balanced Weapon,614,61,
"Sechrist, Zander",801415.0,WAS_WIL3,Changeup,178.0,29.0,37.016736362740886,37.016736362740886,47.83743403226328,61.85356510622296,40.262945663597606,44.4677849857855,9.495743287491814,23.18271119842829,-4.204839322187894,4.204839322187894,42.36536532469155,40.262945663597606,-0.4062468487006363,LHH,Balanced Weapon,613,62,
"Voytko, Fawster",1000207039.0,TRO_AIG,Curveball,33.0,32.0,33.90533473993612,33.90533473993612,57.87133778745008,43.866116851149854,41.09513565419031,36.89356937330024,12.37721021611002,3.601833660772757,4.20156628089007,4.20156628089007,38.99435251374527,36.89356937330024,1.825739027824227,RHH,Balanced Weapon,138,537,
"Vailes, Gage",1000050773.0,GAT_GRI,Sinker,203.0,184.0,47.814625877675,47.814625877675,52.66974679519976,38.712588373066815,49.271162152932426,45.08401462629254,49.770792403405366,26.522593320235757,4.187147526639883,4.187147526639883,47.17758838961248,45.08401462629254,0.3221699852655746,RHH,Balanced Weapon,139,536,
"Sanchez, Dikember",699129.0,LAK_ERI24,Slider,71.0,40.0,40.41227699549557,40.41227699549557,63.64337118198926,49.80538688161848,47.38160525144367,43.230209961332434,40.14407334643091,18.3366077275704,4.151395290111239,4.151395290111239,45.305907606388054,43.230209961332434,5.094112081866381,RHH,Balanced Weapon,140,535,
"Perozzi, John",1000377762.0,SUS_COU1,Four-Seam,84.0,123.0,47.442325135065495,47.442325135065495,60.35947100944557,46.52478074039935,51.31746889737951,47.16706181666565,60.44531761624099,38.50687622789784,4.150407080713862,4.150407080713862,49.24226535702258,47.16706181666565,1.4124000278825655,RHH,Balanced Weapon,141,534,
