pitcher_name,pitcher_id,pitcher_team,pitch_type,pitch_count,swing_count,whiff_count,csw_count,two_strike_pitch_count,strikeout_count,terminal_pa_count,batted_ball_count,hardhit_count,barrel_count,sweetspot_count,groundball_count,line_drive_count,flyball_count,exit_velocity_sum,xwoba_frontier,whiff_pct,csw_pct,putaway_pct,k_pct,avg_exit_velocity,hardhit_pct,barrel_pct,sweetspot_pct,groundball_pct,line_drive_pct,flyball_pct,whiff_pct_z,whiff_pct_score_component,csw_pct_z,csw_pct_score_component,putaway_pct_z,putaway_pct_score_component,k_pct_z,k_pct_score_component,avg_exit_velocity_z,avg_exit_velocity_score_component,hardhit_pct_z,hardhit_pct_score_component,barrel_pct_z,barrel_pct_score_component,sweetspot_pct_z,sweetspot_pct_score_component,pitch_value_raw,pitch_value_20_80,pitch_value_0_100,overall_rank,pitch_type_rank,groundball_score_raw,groundball_score_20_80,groundball_score_0_100,groundball_score_rank,groundball_score_pitch_type_rank,strikeout_score_raw,strikeout_score_20_80,strikeout_score_0_100,strikeout_score_rank,strikeout_score_pitch_type_rank,line_drive_score_raw,line_drive_score_20_80,line_drive_score_0_100,line_drive_score_rank,line_drive_score_pitch_type_rank,flyball_score_raw,flyball_score_20_80,flyball_score_0_100,flyball_score_rank,flyball_score_pitch_type_rank,pitcher_id_key,ivb,hb,spin_rate,velocity,extension,release_height,release_side
"Martzolf, Max",10998500.0,JOL_SLA,Sinker,169,60,9,52,42,5,44,44,8,2,13,14,8,22,3400.58911,0.2419566316108032,0.15,0.3076923076923077,0.119047619047619,0.1136363636363636,77.28611613636363,0.1818181818181818,0.0454545454545454,0.2954545454545454,0.3181818181818182,0.1818181818181818,0.5,-0.8556191073409812,0.0027841845752875,0.5109233453963732,-0.014988447260548,-0.6771031533136288,-0.0098315377861138,-0.692060958496866,-0.0302243782404336,-0.6688738116833455,0.3939666750814904,0.0809737648833919,-0.0193541063611336,0.7692797631207768,0.0378108696371493,-0.1904404940798375,0.0578571551849132,0.4180204148306112,54.77219927262063,71.23655913978494,215,21,-0.5172024203919187,44.827975796080814,32.93010752688172,499,95,-0.692060958496866,43.07939041503134,27.55376344086021,540,54,0.2161400769726813,52.16140076972681,57.795698924731184,317,45,-0.6724866437519181,43.27513356248082,27.1505376344086,545,102,10998500,10.517043195266272,-19.64002704142012,2102.511010650888,84.55340343195266,5.484437396449704,4.862226804733727,-1.4646003550295859
"Long, Jalon",809215.0,NEW_YOR13,Slider,126,54,13,35,33,8,29,30,4,2,6,13,5,12,2421.53077,0.2410324548965825,0.2407407407407407,0.2777777777777778,0.2424242424242424,0.2758620689655172,80.71769233333333,0.1333333333333333,0.0666666666666666,0.2,0.4333333333333333,0.1666666666666666,0.4,-0.0390956531362912,0.0001272172553054,0.0190900254079158,-0.0005600249853666,0.6774605298941666,0.0098367268940633,0.6022847647063817,0.0263035825290218,0.3231757599709015,-0.1903505226228609,-0.5053095072032054,0.1207775624831885,1.47993870400668,0.0727404672406323,-1.2357993153154403,0.375444482588038,0.4143194913820218,54.72994883804188,71.10215053763442,216,75,0.364838331324947,53.64838331324947,67.20430107526882,245,52,0.6022847647063817,56.02284764706382,76.54569892473118,176,68,0.4125842276208419,54.12584227620842,67.40591397849462,246,69,0.1262664237209965,51.26266423720997,55.51075268817204,331,68,809215,5.094503120000001,-2.0336980799999997,2159.728304,83.71095007999999,5.87666008,5.97886632,1.2927752000000001
"Perez, Kelvin",692487.0,WAS_WIL3,Four-Seam,103,39,2,20,36,4,30,34,4,0,8,16,5,13,2704.22826,0.2177938209142798,0.0512820512820512,0.1941747572815534,0.1111111111111111,0.1333333333333333,79.53612529411764,0.1176470588235294,0.0,0.2352941176470588,0.4705882352941176,0.1470588235294117,0.3823529411764705,-1.7439248432339969,0.0056747314398834,-1.3554510838524747,0.0397635129958962,-0.7642388288416152,-0.0110967477947802,-0.5349052941981142,-0.0233609189135142,-0.0184086921446622,0.010842719673206,-0.694989389348869,0.1661142788739986,-0.7535608244918718,-0.0370382680845999,-0.8492800872955538,0.2580172354810003,0.4089165436710901,54.668267776013934,70.96774193548387,217,38,0.6502044568804035,56.50204456880404,75.40322580645162,185,8,-0.5349052941981142,44.65094705801886,35.14784946236559,485,142,0.6668060696361081,56.66806069636108,79.3010752688172,154,27,0.2672228473926882,52.672228473926886,61.02150537634409,291,37,692487,15.790485922330097,11.165972718446602,2071.674587378641,89.16906776699028,6.1718928155339805,5.980982718446602,1.2328180582524273
"Miner, Jace",701731.0,DOW_EAS1,Curveball,60,30,10,19,28,7,20,16,0,0,6,6,3,7,1264.19876,0.280957636531708,0.3333333333333333,0.3166666666666666,0.25,0.35,79.0124225,0.0,0.0,0.375,0.375,0.1875,0.4375,0.7940915450317603,-0.0025839738875333,0.6584733413929089,-0.0193169739431023,0.7606354928981542,0.0110444273568811,1.1938070130881562,0.052137133682599,-0.1698082539662305,0.1000170615861097,-2.1175885054413475,0.5061396518050746,-0.7535608244918718,-0.0370382680845999,0.6806918569498324,-0.2067989509843577,0.4036001075310711,54.60757434626693,70.83333333333334,218,30,-0.0819849442158334,49.180150557841664,50.94086021505376,366,54,1.1938070130881562,61.93807013088156,87.36559139784946,96,26,0.1424735204796209,51.42473520479621,53.965053763440864,344,37,-0.1732659765813463,48.26734023418653,44.48924731182796,412,58,701731,2.774433,10.7588335,1854.466335,76.20927216666668,5.465337333333333,4.560286333333334,-3.5934266666666668
"Calderon, Jean",703300.0,LAK_ERI24,Four-Seam,87,30,4,17,18,2,20,25,5,2,8,10,4,11,1930.59119,0.2444491527370687,0.1333333333333333,0.1954022988505747,0.1111111111111111,0.1,77.2236476,0.2,0.08,0.32,0.4,0.16,0.44,-1.0055928030112309,0.0032721989809985,-1.3352687227376394,0.0391714432502313,-0.7642388288416152,-0.0110967477947802,-0.800861033780617,-0.0349760039283008,-0.686933117723563,0.4046036063391786,0.3008299919158663,-0.0719034821777546,1.9266386097063928,0.0946962143056789,0.0783660599521752,-0.0238081575758905,0.3999590713993612,54.56600759650336,70.6989247311828,219,39,0.1095107453016441,51.09510745301644,57.66129032258065,310,32,-0.800861033780617,41.99138966219383,22.58064516129032,573,178,0.4990196539060315,54.99019653906032,71.43817204301075,211,40,-0.1932348032681692,48.06765196731831,43.21236559139785,422,68,703300,12.021461494252874,0.7859933333333332,2525.7951379310343,94.05460057471264,6.383003908045977,6.249977241379311,1.5420213793103448
"Joven, Art",1000048892.0,MIS_MUD,Sinker,275,91,8,74,44,5,66,74,13,2,18,34,12,28,5799.81893,0.2359196277468089,0.0879120879120879,0.2690909090909091,0.1136363636363636,0.0757575757575757,78.3759314864865,0.1756756756756756,0.027027027027027,0.2432432432432432,0.4594594594594595,0.1621621621621621,0.3783783783783784,-1.4143123252774044,0.0046021723064526,-0.1237332607601608,0.00362983893766,-0.7365138411736196,-0.0106941809738409,-0.9942833898406198,-0.0434233384845093,-0.3538142620144985,0.2083966003265396,0.0066980125075555,-0.0016009388555184,0.1519119573318654,0.0074666246148185,-0.7622262071108947,0.2315696573037396,0.3999464351753417,54.56586333900555,70.56451612903226,220,22,0.5649599528026717,55.64959952802672,72.98387096774194,202,39,-0.9942833898406198,40.0571661015938,15.32258064516129,631,83,0.4709865426784032,54.70986542678404,70.56451612903226,221,31,0.2989697896610863,52.98969789661086,62.43279569892473,281,56,1000048892,7.124437636363637,-15.726076436363636,1798.2068996363637,83.3033654909091,5.143964145454546,5.112348363636364,-2.1156755636363638
"Boies, Emiles",1000429129.0,QUE_CAP,Slider,70,29,3,11,19,1,18,22,5,1,5,6,3,13,1721.84692,0.2454132400738447,0.1034482758620689,0.1571428571428571,0.0526315789473684,0.0555555555555555,78.26576909090909,0.2272727272727272,0.0454545454545454,0.2272727272727272,0.2727272727272727,0.1363636363636363,0.5909090909090909,-1.2745111538682297,0.0041472592946872,-1.964303118055741,0.0576247962712832,-1.4062911748373077,-0.0204193478586377,-1.1554686865572883,-0.0504627839480164,-0.3856615971957708,0.227154680748309,0.6306143324645764,-0.1507275459026856,0.7692797631207768,0.0378108696371493,-0.9371253663909832,0.2847052461871454,0.3898331744292343,54.45040846200881,70.43010752688173,221,76,-0.8653764013327869,41.34623598667213,20.6989247311828,589,124,-1.1554686865572883,38.44531313442712,8.46774193548387,681,151,0.805472528917162,58.05472528917162,82.93010752688173,125,32,-1.3986257960000228,36.01374203999977,8.131720430107526,684,139,1000429129,4.972100857142857,-0.11082157142857141,2124.5798085714287,80.49235900000001,5.951611571428572,5.542164857142858,2.4488708571428575
"Morel, Yohanse",678353.0,OTT_TIT,Changeup,83,37,20,28,34,11,20,11,3,0,2,6,1,4,865.06267,0.2291274986461047,0.5405405405405406,0.3373493975903614,0.3235294117647059,0.55,78.64206090909092,0.2727272727272727,0.0,0.1818181818181818,0.5454545454545454,0.0909090909090909,0.3636363636363636,2.658629383094319,-0.0086511800125889,0.9985240206344989,-0.0292927006693336,1.5679218985250911,0.0227662259665843,2.7895414505831755,0.121827643771319,-0.2768777277383691,0.1630809816378994,1.1802549000457618,-0.2821009854442378,-0.7535608244918718,-0.0370382680845999,-1.4349152812650794,0.4359373068552999,0.3865290240203423,54.412687662692505,70.29569892473118,222,38,1.2236674843124218,62.23667484312422,87.90322580645162,93,29,2.7895414505831755,77.89541450583175,99.05913978494624,8,2,1.3948049808616416,63.94804980861642,92.6747311827957,57,14,0.4167220846202388,54.16722084620239,67.00268817204301,249,61,678353,5.1875820481927715,17.399105662650605,2094.8617722891568,85.21981975903614,5.389005662650602,5.348398192771085,2.4106760240963854
"Odonnell, Brendan",1000423478.0,NEW_ENG23,Slider,161,91,53,78,57,22,45,32,5,0,7,16,6,10,2541.9297,0.2240001846066732,0.5824175824175825,0.484472049689441,0.3859649122807017,0.4888888888888889,79.435303125,0.15625,0.0,0.21875,0.5,0.1875,0.3125,3.035456667136585,-0.0098773759948624,3.4174095132074878,-0.1002531254794548,2.253407197338138,0.0327194725053497,2.3019559280152526,0.1005333212442101,-0.0475558198624515,0.0280103778989839,-0.2281990543810243,0.0545434533809892,-0.7535608244918718,-0.0370382680845999,-1.0304609754298757,0.3130612575624241,0.3816991130330399,54.357548495123936,70.16129032258065,223,77,0.875493503371554,58.75493503371554,80.1747311827957,153,27,2.3019559280152526,73.01955928015252,97.71505376344086,18,6,0.1424735204796209,51.42473520479621,53.965053763440864,345,85,0.8251753577597972,58.25175357759797,78.76344086021506,159,27,1000423478,-1.617319565217391,12.437087267080745,2658.338983850932,84.34253875776398,6.113194968944099,5.592717888198758,-1.506551304347826
"Pierson, Kenny",1000055344.0,LAK_ERI24,Sinker,192,63,0,42,31,1,48,57,9,0,12,30,7,20,4510.759,0.2265720871213864,0.0,0.21875,0.032258064516129,0.0208333333333333,79.13612280701754,0.1578947368421052,0.0,0.2105263157894736,0.5263157894736842,0.1228070175438596,0.3508771929824561,-2.2053823683732245,0.0071763142266864,-0.951402507783594,0.0279103439683395,-1.629973927635807,-0.0236672214292719,-1.4325059152890622,-0.0625618308384192,-0.1340471839662056,0.0789537913560951,-0.2083107443698637,0.0497898091870517,-0.7535608244918718,-0.0370382680845999,-1.1205216508182825,0.3404223211701498,0.3809852595560316,54.34939901025938,70.02688172043011,224,23,1.077067913389951,60.77067913389951,84.67741935483872,115,21,-1.4325059152890622,35.674940847109376,4.166666666666666,714,115,0.9812383479181472,59.81238347918147,86.6263440860215,101,12,0.5186363516024287,55.18636351602429,71.10215053763442,216,44,1000055344,0.5975759375,-17.225064895833334,1770.1514677083333,81.14136307291666,4.814674322916667,4.511105104166666,-3.0699593229166666
"Bell, Brendan",681141.0,NEW_ENG23,Four-Seam,128,45,6,30,13,4,37,35,5,0,9,16,6,13,2759.91094,0.2627151420438099,0.1333333333333333,0.234375,0.3076923076923077,0.1081081081081081,78.85459828571429,0.1428571428571428,0.0,0.2571428571428571,0.4571428571428571,0.1714285714285714,0.3714285714285714,-1.0055928030112309,0.0032721989809985,-0.6945074254681943,0.0203740698335349,1.3940448265439047,0.0202415308814174,-0.7361690971254137,-0.0321507129787581,-0.2154343555568256,0.1268908354229702,-0.390146721614767,0.0932516989601967,-0.7535608244918718,-0.0370382680845999,-0.610006279473719,0.1853241777480721,0.3801655307638319,54.34004083298599,69.89247311827957,225,40,0.5472151784844491,55.47215178484449,72.44623655913979,206,13,-0.7361690971254137,42.638309028745866,25.336021505376344,557,171,0.3508446374171339,53.50844637417134,64.65053763440861,263,57,0.3544815858561156,53.54481585856116,64.51612903225806,264,25,681141,10.98128625,3.069169609375,2356.49661875,91.939074375,5.97581359375,6.1527465625,1.082688828125
"Saturria, Michael",800014.0,NEW_ENG23,Cutter,209,88,25,66,51,11,45,54,9,0,11,20,8,26,4291.46048,0.2541543903013958,0.2840909090909091,0.3157894736842105,0.2156862745098039,0.2444444444444444,79.47149037037036,0.1666666666666666,0.0,0.2037037037037037,0.3703703703703703,0.1481481481481481,0.4814814814814814,0.3509874441878425,-0.0011421131433872,0.6440511613330979,-0.0188938848688677,0.3839018369389169,0.005574254672353,0.3516138377435628,0.0153560311357746,-0.0370942887151288,0.0218485360532108,-0.1022397576436702,0.0244370401527171,-0.7535608244918718,-0.0370382680845999,-1.1952386555849586,0.3631218702372995,0.3732634661545002,54.26124557194215,69.75806451612904,226,10,-0.1174471089412928,48.825528910587074,50.26881720430107,371,19,0.3516138377435628,53.51613837743563,68.34677419354838,237,7,0.6526826339685927,56.526826339685925,78.62903225806451,162,9,-0.5245694090347109,44.75430590965289,31.451612903225808,512,25,800014,12.978032535885168,-0.8405186602870813,2504.104747368421,86.36813550239235,6.332234162679426,5.712774210526316,3.064871866028708
"Moore, Kyle",1000517760.0,SCH_BOO,Cutter,106,56,13,32,19,5,29,35,5,1,8,15,5,15,2787.23255,0.2406029985821995,0.2321428571428571,0.3018867924528302,0.2631578947368421,0.1724137931034483,79.63521571428572,0.1428571428571428,0.0285714285714285,0.2285714285714285,0.4285714285714285,0.1428571428571428,0.4285714285714285,-0.1164630358233246,0.000378970718569,0.4154732132153244,-0.0121883221828847,0.9050972707471848,0.0131420123712491,-0.2230951167565584,-0.0097432330341091,0.0102377965941256,-0.0060300621939399,-0.390146721614767,0.0932516989601967,0.2036532591503632,0.0100097613404995,-0.9229027973945804,0.2803843301680552,0.3692051561476358,54.21491514554258,69.6236559139785,227,11,0.3283629618930462,53.28362961893046,65.59139784946237,258,14,-0.2230951167565584,47.769048832434414,47.11021505376344,394,17,0.7212821786393792,57.21282178639379,80.71236559139786,147,8,-0.1019487384141211,48.98051261585879,47.17741935483871,395,21,1000517760,9.571185094339622,1.3845127358490568,2143.90835,84.64318254716981,4.737308396226415,6.110829056603774,2.1229627358490566
"Gollert, Harley",1000114236.0,TRO_AIG,Four-Seam,125,56,12,39,47,11,28,39,4,1,12,10,6,23,3089.0418,0.2025388654618501,0.2142857142857142,0.312,0.2340425531914893,0.3928571428571428,79.2062,0.1025641025641025,0.0256410256410256,0.3076923076923077,0.2564102564102564,0.1538461538461538,0.5897435897435898,-0.2771491383271635,0.0009018432961165,0.5817473434747108,-0.0170661400681741,0.5854371665706057,0.0085005476586051,1.5357501068370885,0.0670708144158961,-0.1137882576622043,0.0670212837630383,-0.8773738914120078,0.2097072754036238,0.1054774556998783,0.0051843224251047,-0.0564201323829647,0.0171408311588713,0.3584607780530821,54.09225531480592,69.48924731182797,228,41,-0.9903619329525856,40.09638067047415,16.46505376344086,623,162,1.5357501068370885,65.35750106837088,90.86021505376344,69,9,0.578806201246208,55.78806201246208,75.13440860215054,183,32,-1.3893163196891496,36.10683680310851,8.333333333333332,683,206,1000114236,15.41176650406504,-10.31755382113821,2149.6854121951224,88.85885544715448,5.3960622764227635,5.567943495934959,-1.6805031707317073
