leaderboard,leaderboard_rank,pitcher_name,pitcher_team,pitch_type,batter_side,pitch_count,split_batted_ball_count,split_terminal_pa_count,k_pct,groundball_pct,line_drive_pct,flyball_pct,final_pitch_score_20_80,raw_pitch_score_20_80,groundball_score_20_80,groundball_score_rank,groundball_score_pitch_type_rank,strikeout_score_20_80,strikeout_score_rank,strikeout_score_pitch_type_rank,line_drive_score_20_80,line_drive_score_rank,line_drive_score_pitch_type_rank,flyball_score_20_80,flyball_score_rank,flyball_score_pitch_type_rank,location_score_20_80,stuff_plus_20_80,execution_plus_20_80,movement_quality_20_80,archetype,platoon_category,quadrant_label,overall_rank,pitch_type_rank,pitch_type_batter_side_rank
Best Overall Pitches,1437,"Glickstein, Aaron",SCH_BOO,Cutter,L,27,12,5,0.2,0.25,0.0,0.75,38.46378859765962,37.33718620136961,41.56663381819048,1219,27,50.12430587470722,656,10,68.77486587891195,90,3,28.737916217983376,1511,33,41.092527522336326,38.96155370834135,38.42781634405281,49.05041031652989,Soft-Speed Separation,Balanced Weapon,Low Priority,1437,63,30
Best Overall Pitches,1438,"O'Brien, Keenan",SUS_COU1,Sinker,L,32,9,7,0.0,0.4444444444444444,0.1111111111111111,0.4444444444444444,38.44825567046303,32.59164896289366,53.579757439665336,495,51,36.49019003684828,1408,115,58.35025819094956,269,15,48.038139407526096,863,81,52.11367132145823,35.86526629336424,39.59436378737957,25.62719812426729,Soft-Speed Separation,Balanced Weapon,Low Priority,1438,232,111
Best Overall Pitches,1439,"Salata, Derek",SCH_BOO,Cutter,L,67,24,18,0.1111111111111111,0.2916666666666667,0.375,0.3333333333333333,38.43030336892176,36.83232118325858,44.1408745942208,1077,22,44.0646988356588,1079,21,33.59181493203887,1444,29,55.05640238554163,475,15,42.158928468802536,51.57135463485922,33.54138515998047,46.1664712778429,Soft-Speed Separation,Balanced Weapon,Development Target,1439,64,31
Best Overall Pitches,1440,"Gorgen, Grady",NEW_YOR13,Curveball,R,30,8,14,0.4285714285714285,0.375,0.25,0.375,38.42781590096662,36.75540627040609,49.289356146281456,775,62,65.706152546546,136,16,45.319498580996566,1119,61,52.424553768785806,596,60,42.330105038941205,54.61698442054431,32.36902098617678,63.89214536928488,Tight High-Spin Breakers,Balanced Weapon,Development Target,1440,149,81
Best Overall Pitches,1441,"Marynczak, Arlo",TRI_VAL,Sinker,L,26,12,8,0.0,0.4166666666666667,0.1666666666666666,0.4166666666666667,38.39197326624591,38.5506596751456,51.863596922311785,617,60,36.49019003684828,1509,127,53.13795434696837,589,40,49.79270515202998,760,73,38.0217049788133,37.10424894454426,39.039967502455085,39.1324736225088,Soft-Speed Separation,Balanced Weapon,Low Priority,1441,233,112
Best Overall Pitches,1442,"Cox, Carter",NIU_HUS,Four-Seam,L,54,12,10,0.4,0.25,0.3333333333333333,0.4166666666666667,38.36548017987141,32.61021079665478,41.56663381819048,1195,155,63.75842171256616,164,8,37.501042815024775,1362,226,49.79270515202998,752,71,51.79444207404356,43.219325705522174,36.65593716929324,51.09026963657679,Soft-Speed Separation,,Low Priority,1442,478,232
Best Overall Pitches,1443,"Escobar, Anthony",TRO_AIG,Sinker,L,82,28,23,0.0869565217391304,0.4285714285714285,0.2142857142857142,0.3571428571428571,38.35411170580504,37.98185520425716,52.59909428689188,570,55,42.4180664880913,1186,82,48.67026533784162,890,74,53.55248889025259,533,52,39.222710209416775,37.68541626475358,38.76385299208505,36.74091441969519,Soft-Speed Separation,Balanced Weapon,Low Priority,1443,234,113
Best Overall Pitches,1444,"Rodriguez, Joe Joe",NEW_JER6,Sinker,L,98,38,29,0.1034482758620689,0.5526315789473685,0.1578947368421052,0.2894736842105263,38.32383712516746,36.95941201468904,60.26375103356865,223,18,43.542318918499454,1106,76,53.96094969075487,508,32,57.82676935054776,327,32,41.50749571628376,34.741495321774,39.85126109199571,22.3915592028136,Soft-Speed Separation,Balanced Weapon,Low Priority,1444,235,114
Best Overall Pitches,1445,"Thiels, Brenton",MIS_MUD,Four-Seam,L,111,27,33,0.1212121212121212,0.1851851851851851,0.1111111111111111,0.7037037037037037,38.25422858340861,37.47762093663343,37.56225927769886,1398,207,44.75329054464158,1017,147,58.35025819094956,280,31,31.66219245882317,1480,237,40.06631309255071,45.78146871970567,35.51667884699566,42.57913247362251,Soft-Speed Separation,Balanced Weapon,Low Priority,1445,479,233
Best Overall Pitches,1446,"Gartland, Chad",TRI_VAL,Four-Seam,L,76,21,17,0.0588235294117647,0.238095238095238,0.238095238095238,0.5238095238095238,38.17520670721372,36.26634165395979,40.831136453610384,1242,168,40.50022410680679,1298,210,46.436420833278255,1031,157,43.02509442322928,1151,150,42.62922516480622,44.95696707852452,35.72235092444218,36.67057444314185,Soft-Speed Separation,Balanced Weapon,Low Priority,1446,480,234
