pitcher_name,pitcher_id,pitcher_team,pitch_type,batter_side,pitch_count,batted_ball_count,raw_pitch_score_20_80,raw_pitch_score_0_100,split_batted_ball_count,split_terminal_pa_count,split_strikeout_count,split_groundball_count,split_line_drive_count,split_flyball_count,k_pct,groundball_pct,line_drive_pct,flyball_pct,groundball_score_20_80,groundball_score_0_100,groundball_score_rank,groundball_score_pitch_type_rank,strikeout_score_20_80,strikeout_score_0_100,strikeout_score_rank,strikeout_score_pitch_type_rank,line_drive_score_20_80,line_drive_score_0_100,line_drive_score_rank,line_drive_score_pitch_type_rank,flyball_score_20_80,flyball_score_0_100,flyball_score_rank,flyball_score_pitch_type_rank,location_score_20_80,location_score_0_100,final_pitch_score_20_80,final_pitch_score_0_100,overall_rank,pitch_type_rank,pitch_type_batter_side_rank,platoon_gap,better_side,platoon_category,IVB,HB,velocity,spin_rate,extension,release_height,release_side,movement_quality_20_80,movement_quality_0_100,archetype,cluster,stuff_plus_raw,stuff_plus_20_80,stuff_plus_0_100,execution_raw,execution_plus_20_80,execution_plus_0_100,quadrant_label
"Simone, Andrew",1000132681.0,TRO_AIG,Slider,R,66,37,54.93888647194623,71.6295427901524,26,20,3,6,4,16,0.15,0.2307692307692307,0.1538461538461538,0.6153846153846154,40.37852269079186,17.25605762933857,1261,153,46.715776915242486,44.07334643091029,852,135,54.34079369557941,68.3366077275704,480,65,37.24081174904066,9.528487229862476,1380,160,59.43127583461097,83.16268486916951,56.28660328074565,81.20497707924034,288,107,76,5.2247017741715,RHH,Right-Handed Killer,3.497551834862385,-3.7025588990825686,84.25357403669724,2160.039791743119,5.7241029357798165,5.224311100917432,0.9715178899082568,58.61664712778429,64.36107854630716,Tight High-Spin Breakers,1,52.21914449817644,59.04607451469819,82.80943025540275,4.067458782569212,55.70121169523205,72.62606417812705,Elite Weapon
"Cartwright, Eli",1000304859.0,GAT_GRI,Four-Seam,R,146,46,61.483697612599286,88.39390386869871,32,29,3,6,4,22,0.1034482758620689,0.1875,0.125,0.6875,37.70527265414498,9.037328094302556,1395,221,43.542318918499454,27.79960707269155,1105,178,57.04718222995426,78.42174197773411,340,43,32.68568914311712,3.43811394891945,1476,238,44.13448809520493,29.63594994311718,56.27893475738098,81.13948919449902,289,64,37,-3.4921325586575804,LHH,Balanced Weapon,18.38738309178744,-8.608634927536231,90.25465444444444,2099.5454492753624,6.396943719806763,5.168267632850242,-1.93416961352657,41.80539273153576,36.34232121922626,Soft-Speed Separation,0,50.33593253857406,52.16824679428416,62.180746561886046,5.943002218806917,58.330093939698216,80.2226588081205,Elite Weapon
"Burcham, Jacob",1000122547.0,GAT_GRI,Changeup,L,62,25,54.37374965132762,69.98827667057445,17,13,1,7,4,6,0.0769230769230769,0.4117647058823529,0.2352941176470588,0.3529411764705882,51.560745066308215,58.808120497707925,626,69,41.7340807437171,20.13752455795678,1212,84,46.69922606910924,33.49705304518664,1011,80,53.81788538942124,66.17550753110675,514,50,60.64016248242006,85.55176336746302,56.25367350065535,81.07400130975769,290,36,22,-3.6334517212848567,LHH,Balanced Weapon,3.672745051546392,17.84469670103093,83.40982041237113,1898.610675257732,6.183741134020619,4.797400824742268,3.239520721649485,48.276670574443145,47.127784290738575,Soft-Speed Separation,0,51.5990734945314,56.78146403591,76.78454485920105,4.65460000612395,56.52418657695138,75.24557956777997,Elite Weapon
"Henderson, Drew",1000429021.0,DOW_EAS1,Sinker,R,39,29,56.72353623896565,77.02227432590855,11,12,3,6,2,3,0.25,0.5454545454545454,0.1818181818181818,0.2727272727272727,59.8203411391328,84.80681074001309,228,35,53.53283483417195,69.25343811394892,459,15,51.71641693497349,55.95939751146039,666,58,58.88454582809556,81.17223313686968,285,39,55.01957201628014,72.2980659840728,56.21234697215999,81.00851342501637,291,21,11,2.6247328639673526,Balanced,Balanced Weapon,16.07461104347826,15.52383547826087,88.94891782608697,2211.192666956522,5.611759043478261,5.943999391304348,1.3539547826086955,33.99765533411489,23.329425556858148,Soft-Speed Separation,0,46.65891456338909,38.73911789074448,12.802881466928618,9.553432408770902,63.39070498068824,91.29011132940406,Command/Deception Weapon
"Wiltse, Ryan",813813.0,EVA_OTT,Curveball,L,91,17,61.57020128208399,88.62837045720985,16,18,4,12,2,2,0.2222222222222222,0.75,0.125,0.125,72.4575231305544,97.60969220694172,42,6,51.63920763446932,63.42501637197119,567,50,57.04718222995426,78.42174197773411,342,21,68.21564546932076,96.39816633922725,55,16,43.69260644796847,27.75881683731513,56.20692283184934,80.94302554027504,292,42,16,4.242097309720592,RHH,Balanced Weapon,-12.731881832061068,-4.256703129770992,74.31470312977099,1922.6325603053435,5.845187709923664,6.389635877862595,1.1970964122137404,76.48300117233295,94.13833528722158,Tight High-Spin Breakers,1,50.00532055217297,50.96079254401978,55.50098231827112,6.201602279676372,58.69256440841809,81.20497707924034,Elite Weapon
"Gollert, Harley",8890793.0,QUE_CAP,Slider,R,35,22,61.52760982650061,88.51113716295428,13,11,2,6,1,6,0.1818181818181818,0.4615384615384615,0.0769230769230769,0.4615384615384615,54.63585621957522,70.6286836935167,454,46,48.88484079853823,53.20890635232482,720,124,61.55782978724568,88.73608382449247,178,21,46.95840664167756,38.86705959397512,939,113,43.658995465822365,27.474402730375424,56.16702551829713,80.87753765553373,293,108,77,,,,0.9863563157894736,5.10749,79.37657543859649,2221.548757894737,5.088315438596491,5.615387543859649,-1.1260180701754383,66.28370457209847,77.13950762016412,Tight High-Spin Breakers,1,50.47330504129002,52.66995580392848,64.7675180091683,5.693720477007112,57.98068462598928,79.24034053700065,Elite Weapon
"MacMillan, Blake",832350.0,TRO_AIG,Four-Seam,R,87,48,58.95142459981436,83.5873388042204,26,18,8,5,5,16,0.4444444444444444,0.1923076923076923,0.1923076923076923,0.6153846153846154,38.00230043599464,9.757694826457106,1379,215,66.78822523209035,92.6326129666012,112,8,50.73227564974627,51.7026850032744,741,114,37.24081174904066,9.528487229862476,1383,218,49.27164803162169,52.73037542662116,56.04749162935656,80.8120497707924,294,65,38,2.600071095219988,Balanced,Balanced Weapon,21.87218317567568,-5.797008986486486,88.32724331081081,2200.269570945946,5.555323378378378,6.7237446621621615,-0.0080522972972972,44.54865181711605,40.91441969519343,Soft-Speed Separation,0,51.43732655464461,56.19073521158775,75.5402750491159,4.610165074711944,56.46190372070497,75.049115913556,Elite Weapon
"Cerda, Junior",693702.0,EVA_OTT,Four-Seam,R,59,33,53.07787311819013,65.06447831184057,13,17,8,8,3,2,0.4705882352941176,0.6153846153846154,0.2307692307692307,0.1538461538461538,64.14074523876413,91.74852652259332,126,3,68.57046259651636,94.5645055664702,82,6,47.123757603913134,35.52717747216765,978,166,66.39359642695135,94.79371316306484,79,3,62.96166992412961,89.7042093287827,56.043012159971966,80.74656188605108,295,66,39,7.024297401073198,RHH,Right-Handed Killer,15.304140787401575,15.699037716535434,93.18144102362204,2225.383115748032,5.521705039370079,5.187389212598426,1.9941547244094489,21.26611957796014,2.1101992966002343,Soft-Speed Separation,0,49.27934679098836,48.30940620723005,42.07596594629994,6.763665368983602,59.48038816509611,82.84217419777342,Command/Deception Weapon
"Earwood, Micah",1000112366.0,SUS_COU1,Curveball,R,49,17,56.40200500019989,75.96717467760844,10,12,3,6,1,3,0.25,0.6,0.1,0.3,63.19025633684523,90.34053700065488,143,17,53.53283483417195,69.25343811394892,458,45,59.39271895974579,84.67583497053045,230,16,57.1618812789463,76.85003274394238,346,40,55.20119420858677,72.9806598407281,56.04176176271595,80.68107400130977,296,43,27,2.036346829025192,Balanced,Balanced Weapon,-6.811228173076923,-6.2001426923076925,78.61544480769231,2457.887265384615,5.463827115384616,5.600565096153845,2.372930673076924,73.66940211019929,89.44900351699883,Tight High-Spin Breakers,1,49.309732735310405,48.4203811238365,42.59986902423052,6.732029027405545,59.43604463508368,82.58022265880813,Command/Deception Weapon
"Ortiz, Julio",683650.0,GAT_GRI,Four-Seam,L,154,78,59.40446845308883,84.99413833528722,42,32,12,8,9,25,0.375,0.1904761904761904,0.2142857142857142,0.5952380952380952,37.889146995290005,9.62671905697446,1381,201,62.05415723283379,87.06614276358874,198,9,48.67026533784162,42.40340537000655,880,126,38.51335393736216,12.40995415848068,1339,203,48.12779116417842,48.52104664391354,56.0214652664157,80.61558611656844,297,67,28,1.2444187550598684,Balanced,Balanced Weapon,18.18065766666667,8.237864393939393,95.34616230303033,2173.389793030304,6.117812818181818,6.613646848484848,1.3558175454545454,20.84407971864009,1.406799531066823,Soft-Speed Separation,0,50.99800675520805,54.58626053772816,71.87295350360183,5.02345851120765,57.041202368747726,76.88277668631304,Elite Weapon
"Smith, Jackson",1000333915.0,MIS_MUD,Slider,L,47,41,59.1818068192066,84.64243845252052,7,13,6,2,3,2,0.4615384615384615,0.2857142857142857,0.4285714285714285,0.2857142857142857,43.77312591193076,28.32351015062213,1099,103,67.95353427806121,94.10609037328096,91,18,28.56566479677129,2.4230517354289454,1489,139,58.06422937611972,79.56777996070727,312,29,48.55959428755092,50.22753128555176,55.995143059709896,80.55009823182712,298,109,32,2.0576231545640056,Balanced,Balanced Weapon,1.747934651162791,-8.950132248062015,78.49606480620155,2641.610608527132,4.86505465116279,3.939166046511628,4.080162170542636,74.93552168815944,91.55920281359906,Tight High-Spin Breakers,1,55.90547298201031,72.50920706511893,98.06810740013098,0.0896700776995871,50.12568734510206,53.24165029469549,Elite Weapon
"Andueza, Axel",672847.0,DOW_EAS1,Changeup,L,86,21,58.03237283183076,80.65650644783119,18,26,6,7,5,6,0.2307692307692307,0.3888888888888889,0.2777777777777778,0.3333333333333333,50.14743640495824,53.20890635232482,716,80,52.22186215745475,65.38965291421087,527,33,42.71334665900597,20.726915520628683,1214,93,55.05640238554163,70.43222003929273,443,45,51.1522404817514,59.670079635949946,55.96833312680696,80.48461034708579,299,37,23,,,,5.68945951923077,11.249241634615384,82.38585471153846,2087.4206529807693,5.2243675,6.053152403846155,0.9727439423076922,57.7725674091442,62.95427901524033,Tight High-Spin Breakers,1,47.56364258732617,42.04334684423079,18.533071381794368,8.40469053948079,61.78055453292815,88.53962017026849,Command/Deception Weapon
"Brothers, Kellen",1000131959.0,SUS_COU1,Changeup,R,47,36,58.82563953267431,83.00117233294256,7,16,10,3,2,2,0.625,0.4285714285714285,0.2857142857142857,0.2857142857142857,52.59909428689188,63.78519973804846,555,56,79.09680203015745,99.24688932547478,12,1,41.96873182415151,19.05697445972495,1239,74,58.06422937611972,79.56777996070727,310,32,49.23042208813676,52.55972696245734,55.94707429931304,80.41912246234446,300,38,15,0.5782025607466394,Balanced,Balanced Weapon,10.543361355932204,11.98751220338983,79.86815881355932,1497.0705192090395,6.0553035028248585,5.79957779661017,2.8630001694915257,53.622508792497065,56.03751465416178,Soft-Speed Separation,0,53.733872414425655,64.57813244272,92.50163719711854,2.2132018848873827,53.10216603155335,64.30910281597905,Elite Weapon
