pitcher_name,pitcher_id,pitcher_team,pitch_type,batter_side,pitch_count,batted_ball_count,raw_pitch_score_20_80,raw_pitch_score_0_100,groundball_pct,line_drive_pct,flyball_pct,groundball_score_20_80,groundball_score_0_100,groundball_score_rank,groundball_score_pitch_type_rank,strikeout_score_20_80,strikeout_score_0_100,strikeout_score_rank,strikeout_score_pitch_type_rank,line_drive_score_20_80,line_drive_score_0_100,line_drive_score_rank,line_drive_score_pitch_type_rank,flyball_score_20_80,flyball_score_0_100,flyball_score_rank,flyball_score_pitch_type_rank,location_score_20_80,location_score_0_100,final_pitch_score_20_80,final_pitch_score_0_100,overall_rank,pitch_type_rank,pitch_type_batter_side_rank,platoon_gap,better_side,platoon_category,IVB,HB,velocity,spin_rate,extension,release_height,release_side,movement_quality_20_80,movement_quality_0_100,archetype,cluster
"Barraza, Chris",696511.0,MIS_MUD,Four-Seam,L,253,118,51.70036729468032,59.67741935483871,0.2203389830508474,0.1949152542372881,0.5847457627118644,37.333383324980765,9.274193548387096,676,198,66.0838507773147,91.39784946236558,65,8,50.46332421327662,49.73118279569893,375,104,36.50603977033747,9.005376344086022,678,203,47.20593094204848,42.81129653401797,50.35203638889077,55.78231292517006,586,165,69,1.977299457290485,Balanced,Balanced Weapon,20.002355861344537,10.254002163865549,93.17926527310924,2449.785238445378,5.882380021008403,5.988450441176471,2.192298697478992,26.693548387096776,11.155913978494624,Arm-Side Run Power,2
"Williams, Pierce",1000337420.0,NEW_ENG23,Changeup,R,246,94,52.49189356077217,62.23118279569893,0.3085106382978723,0.1702127659574468,0.5212765957446809,44.0871800919513,29.435483870967744,526,103,55.00922323123214,73.11827956989248,203,27,53.66607937043612,65.05376344086021,261,51,41.57565895083631,21.370967741935484,586,100,45.30408425499964,34.724005134788186,50.33555076904041,55.70672713529856,587,81,35,-0.8353457089132519,Balanced,Balanced Weapon,10.828348355437669,-13.768216312997348,79.82243291777188,1799.4610055702915,5.961525570291777,5.952717347480106,-1.6479314588859415,64.11290322580645,73.52150537634408,Glove-Side Power Break,1
"Brothers, Kellen",1000131959.0,SUS_COU1,Slider,R,64,26,47.27398698191413,40.7258064516129,0.5,0.1153846153846153,0.3846153846153846,58.75493503371554,80.1747311827957,136,24,37.81208518304021,6.384408602150538,697,152,60.77472122122308,88.50806451612904,85,19,52.49151511024522,60.41666666666666,293,60,57.46941948701849,79.13992297817714,50.33261673344544,55.63114134542706,588,174,108,,,,8.018722112676056,-1.8022154929577463,82.35166169014084,2359.0489732394367,6.250991690140845,5.974568450704226,2.671699014084507,58.87096774193548,64.78494623655914,Glove-Side Power Break,1
"Ferguson, Francis",823799.0,QUE_CAP,Four-Seam,R,78,51,50.48859587098769,54.704301075268816,0.3137254901960784,0.1764705882352941,0.5098039215686274,44.486628755942704,30.981182795698924,514,107,41.49272265047664,20.161290322580644,595,186,52.85473306613208,61.29032258064516,287,68,42.49204231986032,23.655913978494624,569,138,49.96517728294506,54.300385109114245,50.331570294574895,55.55555555555556,589,166,97,-4.287358215406776,LHH,Balanced Weapon,14.678097209302326,-8.075807286821707,90.09471325581396,2190.453217054264,5.696394031007752,5.529279534883721,-2.2426848837209303,42.5,37.5,Glove-Side Power Break,1
"Sanchez, Edwin",835958.0,LAK_ERI24,Curveball,R,44,17,52.576346209994085,62.903225806451616,0.1764705882352941,0.1176470588235294,0.7058823529411765,33.97313991968905,3.091397849462365,722,71,56.80892372464757,78.15860215053763,166,37,60.481388326590064,87.70161290322581,93,14,26.83021746745021,0.6720430107526881,740,72,45.0778973601107,33.4403080872914,50.32681155502907,55.47996976568405,590,65,38,-1.329834286994,Balanced,Balanced Weapon,-5.370169090909091,6.255047792207792,75.37472311688312,2463.8344805194806,5.337270519480519,5.099521428571428,-1.5610981818181815,77.5,95.83333333333334,Tight High-Spin Breakers,3
"Gregory, Ben",833406.0,GAT_GRI,Sinker,R,81,36,48.33142428517942,44.89247311827957,0.3888888888888889,0.2222222222222222,0.3888888888888889,50.24401549960543,54.97311827956989,336,67,50.43939550775569,58.534946236559136,309,18,46.92289008577588,35.752688172043015,478,74,52.15016764551321,59.07258064516129,305,60,54.8825828609079,72.72143774069319,50.296771857897966,55.40438397581254,591,69,35,0.4361252825295878,Balanced,Balanced Weapon,14.68120112781955,15.23231962406015,89.3933915037594,2268.16247518797,6.814232330827068,5.853913157894738,2.2746827067669173,36.29032258064516,27.1505376344086,Arm-Side Run Power,2
"Vega, Lucas",837223.0,TRO_AIG,Changeup,L,51,14,47.51598578495599,41.935483870967744,0.4285714285714285,0.2142857142857142,0.3571428571428571,53.28362961893046,65.59139784946237,262,65,40.15015761893034,15.793010752688172,630,93,47.95188325583768,39.85215053763441,452,75,54.68589166923675,69.08602150537635,232,58,56.72926838987518,76.82926829268293,50.27997056643174,55.32879818594104,592,82,47,,,,8.9759975,14.9798555,83.5422205,2020.530255,6.195373833333333,5.162624666666667,2.479506333333333,56.774193548387096,61.29032258064516,Soft-Speed Separation,0
"Flontek, Zac",1000563032.0,DOW_EAS1,Four-Seam,L,126,57,53.21240864976794,65.18817204301075,0.2280701754385964,0.1929824561403508,0.5789473684210527,37.92557933181448,10.75268817204301,665,189,55.20606547269945,74.05913978494624,194,36,50.71391755442458,50.67204301075269,368,97,36.9691882929578,10.013440860215054,668,198,43.39980028389507,25.994865211810016,50.26862614000608,55.25321239606954,593,167,70,3.4571176191066826,RHH,Balanced Weapon,17.724903082706767,4.746503421052632,91.49427124060148,2592.198422180451,6.550783007518797,6.198277593984962,0.881263007518797,37.25806451612903,28.763440860215056,Arm-Side Run Power,2
"Kelly, Colin",1000456530.0,SUS_COU1,Sinker,L,43,29,54.08644406149289,69.08602150537635,0.4137931034482758,0.1724137931034483,0.4137931034482758,52.15163539518183,61.49193548387096,288,55,42.87790879413551,26.478494623655912,550,58,53.38070929099125,63.97849462365591,269,37,50.16093586828181,51.20967741935484,364,77,41.33875500821883,18.35686777920411,50.262137345510666,55.17762660619804,594,70,35,3.8566985440284114,RHH,Balanced Weapon,14.329698854166669,15.794738229166668,90.53656854166668,2008.3051427083333,5.907203958333334,6.1022153125,2.490537395833333,25.08064516129032,8.46774193548387,Arm-Side Run Power,2
"Parenteau, Matt",1000091037.0,EVA_OTT,Four-Seam,R,38,16,45.37483179791925,32.66129032258064,0.25,0.125,0.625,39.605366081967794,14.85215053763441,638,171,48.97272782623454,52.352150537634415,357,90,59.528056419032815,85.75268817204301,107,21,33.290720219069385,3.96505376344086,716,225,61.585939976479416,88.12580231065469,50.23816425148729,55.10204081632652,595,168,98,3.286643645082762,RHH,Balanced Weapon,14.569048787878788,4.929922272727272,92.01933803030305,2251.601751515152,6.393233787878788,6.495336212121212,1.9121974242424244,28.064516129032256,13.440860215053762,Arm-Side Run Power,2
"Saturria, Michael",800014.0,NEW_ENG23,Cutter,L,102,54,54.26124557194215,69.75806451612904,0.3703703703703703,0.1481481481481481,0.4814814814814814,48.825528910587074,50.26881720430107,371,19,53.51613837743563,68.34677419354838,237,7,56.526826339685925,78.62903225806451,162,9,44.75430590965289,31.451612903225808,512,25,40.74997207122165,15.725288831835687,50.20786352172599,55.02645502645503,596,21,12,0.5528116662890099,Balanced,Balanced Weapon,12.978032535885168,-0.8405186602870813,86.36813550239235,2504.104747368421,6.332234162679426,5.712774210526316,3.064871866028708,51.93548387096774,53.2258064516129,Glove-Side Power Break,1
"Hopewell, Chase",803045.0,FLO_Y'A,Four-Seam,L,111,65,52.61910957257639,63.03763440860215,0.3538461538461538,0.1846153846153846,0.4615384615384615,47.5598024157707,44.01881720430107,418,65,46.77859297467889,43.54838709677419,421,112,51.79873464545329,56.31720430107527,326,82,46.34726074506896,36.89516129032258,470,92,44.43705006576886,30.231065468549424,50.16449172053413,54.95086923658352,597,169,71,3.7985813685617487,RHH,Balanced Weapon,16.98091421296296,11.472554351851851,93.24443791666666,2229.4216546296298,6.493762638888889,6.744978425925926,0.8009999074074075,23.467741935483872,5.779569892473118,Arm-Side Run Power,2
