dependent,model,formula,term,coefficient,robust_se,t_stat,p_value,p_stars,ci_lower,ci_upper,r_squared,adj_r_squared,aic,bic,sample_size,sample
woba_value,Batter-side-specific,woba_value ~ movement_quality_20_80 + location_score_20_80 + C(pitch_type),movement_quality_20_80,-2.0071522376525565e-05,0.0002341589908783686,-0.08571749605357458,0.9317270356952501,,-0.00048018462660774636,0.0004400415818546952,0.11873706837553455,0.10392592666756029,-3023.67045547882,-2986.0131154603823,485,L
woba_value,Batter-side-specific,woba_value ~ movement_quality_20_80 + location_score_20_80 + C(pitch_type),location_score_20_80,-0.0008668280036861636,0.0002486084625334055,-3.4867196186842917,0.0005342996359232545,***,-0.0013553337450429581,-0.0003783222623293691,0.11873706837553455,0.10392592666756029,-3023.67045547882,-2986.0131154603823,485,L
woba_value,Batter-side-specific,woba_value ~ movement_quality_20_80 + location_score_20_80 + C(pitch_type),pitch_type_Curveball,-0.030001454105913657,0.009861854838546003,-3.0421715384260275,0.0024785246515452402,**,-0.049379606643298296,-0.010623301568529014,0.11873706837553455,0.10392592666756029,-3023.67045547882,-2986.0131154603823,485,L
woba_value,Batter-side-specific,woba_value ~ movement_quality_20_80 + location_score_20_80 + C(pitch_type),pitch_type_Cutter,-0.013767893144716867,0.013181220047372376,-1.044508254564906,0.29678044987602037,,-0.039668466301447054,0.01213268001201332,0.11873706837553455,0.10392592666756029,-3023.67045547882,-2986.0131154603823,485,L
woba_value,Batter-side-specific,woba_value ~ movement_quality_20_80 + location_score_20_80 + C(pitch_type),pitch_type_Four-Seam,0.0065293284853024805,0.007968946913609328,0.8193464652339101,0.4129988124272766,,-0.009129335263292078,0.022187992233897037,0.11873706837553455,0.10392592666756029,-3023.67045547882,-2986.0131154603823,485,L
woba_value,Batter-side-specific,woba_value ~ movement_quality_20_80 + location_score_20_80 + C(pitch_type),pitch_type_Sinker,0.014650675657588336,0.009736890756685771,1.5046564682394683,0.13307564466871832,,-0.004481927428944845,0.033783278744121514,0.11873706837553455,0.10392592666756029,-3023.67045547882,-2986.0131154603823,485,L
woba_value,Batter-side-specific,woba_value ~ movement_quality_20_80 + location_score_20_80 + C(pitch_type),pitch_type_Slider,-0.020970878823067297,0.007721651866327026,-2.7158539631290783,0.006850992735794911,**,-0.036143617639037035,-0.005798140007097557,0.11873706837553455,0.10392592666756029,-3023.67045547882,-2986.0131154603823,485,L
woba_value,Batter-side-specific,woba_value ~ movement_quality_20_80 + location_score_20_80 + C(pitch_type),pitch_type_Splitter,-0.04449394983563732,0.01779361042689753,-2.500557715278429,0.01273495377660886,*,-0.07945768664663821,-0.009530213024636427,0.11873706837553455,0.10392592666756029,-3023.67045547882,-2986.0131154603823,485,L
woba_value,Batter-side-specific,woba_value ~ movement_quality_20_80 + location_score_20_80 + C(pitch_type),Intercept,0.13208131168581272,0.0194111283826325,6.804411834398476,2.945852389837456e-11,***,0.09394275872821103,0.1702198646434144,0.0819577656024213,0.06709068488343217,-3092.390344741526,-3054.4050332106285,503,R
woba_value,Batter-side-specific,woba_value ~ movement_quality_20_80 + location_score_20_80 + C(pitch_type),movement_quality_20_80,-6.678819065990385e-05,0.00024698755327722633,-0.27041115948437594,0.7869568917212157,,-0.0005520638374358012,0.0004184874561159936,0.0819577656024213,0.06709068488343217,-3092.390344741526,-3054.4050332106285,503,R
