pitcher_name,pitcher_id,pitcher_team,pitch_type,batter_side,pitch_count,batted_ball_count,xwoba_frontier,woba_value,whiff_pct,hardhit_pct,movement_quality_20_80,location_score_20_80
"Escobar, Anthony",678673.0,TRO_AIG,Four-Seam,L,122,74,0.24345578082978012,0.07836065573770493,0.07272727272727272,0.11363636363636363,35.1056338028169,37.1330291677561
"Nettleton, Blake",10067637.0,WIN_CIT29,Four-Seam,L,47,31,0.29845586394506457,0.08274468085106383,0.05,0.35294117647058826,39.33098591549296,57.28121818483195
"Escobar, Anthony",678673.0,TRO_AIG,Slider,R,90,50,0.26039196753855137,0.1037,0.2391304347826087,0.1875,69.96478873239437,41.7589273781205
"Valdez, Alex",677678.0,EVA_OTT,Four-Seam,R,54,39,0.2098529281381093,0.029518518518518517,0.1724137931034483,0.16666666666666666,31.725352112676056,52.98992136009354
"Noriega, Branden",804447.0,LAK_ERI24,Sinker,R,47,24,0.2782881753960152,0.20248936170212764,0.05,0.17647058823529413,49.78873239436619,41.35689171045537
"Campbell, AJ",1000132168.0,WIN_CIT29,Four-Seam,R,85,77,0.3258595665573493,0.11155294117647058,0.13043478260869565,0.30303030303030304,39.225352112676056,54.80743348259444
"Martzolf, Max",824782.0,OTT_TIT,Changeup,L,91,66,0.22192400133265788,0.10039560439560438,0.14634146341463414,0.07692307692307693,61.514084507042256,43.64850443512738
"Gartland, Chad",1000103698.0,SUS_COU1,Four-Seam,R,53,35,0.2827339192975785,0.12598113207547168,0.17391304347826086,0.23529411764705882,30.66901408450704,41.468195020740616
"Helt, Robert",836007.0,LAK_ERI24,Four-Seam,L,152,87,0.28266431148552806,0.1570921052631579,0.13432835820895522,0.2549019607843137,36.37323943661972,48.81311190269975
"Escobar, Anthony",678673.0,TRO_AIG,Slider,L,59,50,0.2819992598779444,0.1024915254237288,0.3225806451612903,0.2222222222222222,69.96478873239437,41.442265242774056
"Helt, Robert",836007.0,LAK_ERI24,Four-Seam,R,121,87,0.2601560909629845,0.1230909090909091,0.1836734693877551,0.2777777777777778,36.37323943661972,48.7979343778852
"Sanchez, Dikember",699129.0,LAK_ERI24,Slider,L,40,15,0.2781565533215251,0.062349999999999996,0.6,0.0,61.19718309859155,52.68823485685751
"Barker, Alex",1000106691.0,NEW_YOR13,Four-Seam,L,49,62,0.3476021588804132,0.08759183673469387,0.21739130434782608,0.2,54.75352112676056,60.5063772253563
"Lawson, Nathan",1000569348.0,FLO_Y'A,Four-Seam,R,27,19,0.28233491358109786,0.1560740740740741,0.07692307692307693,0.2727272727272727,39.436619718309856,61.47445732335204
"Joven, Art",1000048892.0,MIS_MUD,Changeup,L,72,86,0.26343402823791595,0.08898611111111111,0.15789473684210525,0.2962962962962963,60.66901408450704,44.97380463984148
"Gilleran, Jimmy",10103730.0,NEW_ENG23,Sinker,L,35,19,0.3329757398787417,0.057057142857142855,0.21428571428571427,0.18181818181818182,31.51408450704225,48.12527820107423
"Nakata, Yuto",1000432352.0,QUE_CAP,Splitter,L,47,13,0.26714046132072217,0.04591489361702127,0.5483870967741935,0.1,44.50704225352113,41.070894705942095
"Cook, Cole",1000161363.0,SCH_BOO,Cutter,R,65,30,0.20414360534362092,0.09361538461538461,0.2,0.1,68.38028169014083,40.05169680048543
"Joven, Art",1000048892.0,MIS_MUD,Changeup,R,179,86,0.2590459204562024,0.07986033519553072,0.21176470588235294,0.1694915254237288,60.66901408450704,44.70350370145953
"Helt, Robert",836007.0,LAK_ERI24,Slider,L,50,24,0.3267212157029879,0.04974,0.25,0.16666666666666666,73.45070422535211,39.55596253804437
"Moore, Kyle",1000517760.0,SCH_BOO,Curveball,L,25,19,0.2659524338032217,0.09975999999999999,0.4,0.14285714285714285,75.45774647887325,39.46357872595418
"Leach, Landon",667743.0,TRO_AIG,Four-Seam,L,98,38,0.2918236130008403,0.08512244897959183,0.11428571428571428,0.17391304347826086,23.80281690140845,39.0687114176425
"Hagan, Jack",699522.0,DOW_EAS1,Sinker,R,75,51,0.3179973179103182,0.08798666666666667,0.2222222222222222,0.25,26.76056338028169,41.93526007096365
"Allemann, Braeden",1000367619.0,QUE_CAP,Four-Seam,R,162,102,0.2585592545048515,0.08088271604938271,0.19696969696969696,0.1956521739130435,33.943661971830984,54.03332975374824
"Nettleton, Blake",10067637.0,WIN_CIT29,Four-Seam,R,39,31,0.23567226532734104,0.1611282051282051,0.05555555555555555,0.35714285714285715,39.33098591549296,55.4952673241457
"Misla, Luis",695417.0,TRI_VAL,Curveball,R,42,16,0.2270303467944017,0.12176190476190477,0.23076923076923078,0.3,74.82394366197184,45.97163173797841
"Huter, Blayne",1000145980.0,SUS_COU1,Curveball,R,56,37,0.2643193448999144,0.06035714285714285,0.038461538461538464,0.15,79.78873239436619,42.58908179526771
"Harris, Ben",1000390130.0,GAT_GRI,Changeup,R,80,46,0.2828936692175457,0.08625000000000001,0.35,0.2777777777777778,50.2112676056338,39.81155507904733
"Hill, Kaleb",1000371973.0,OTT_TIT,Sinker,L,95,79,0.21755833903660243,0.07317894736842105,0.11627906976744186,0.15151515151515152,45.03521126760563,49.85155532772509
"Vega, Lucas",837223.0,TRO_AIG,Sinker,R,66,53,0.2344879282572307,0.07012121212121213,0.10344827586206896,0.19047619047619047,27.6056338028169,46.67463479242936
"Williams, Pierce",1000337420.0,NEW_ENG23,Curveball,L,52,32,0.2777875781705335,0.08563461538461538,0.21052631578947367,0.3333333333333333,75.88028169014083,52.04981943633184
"Foltz Jr., Michael",803189.0,WAS_WIL3,Four-Seam,R,78,42,0.30682420014243544,0.11612820512820513,0.15,0.25,43.13380281690141,43.57154834423342
"Foy, Corbin",813822.0,LAK_ERI24,Slider,L,37,19,0.25199704173114096,0.0,0.4117647058823529,0.125,71.12676056338027,36.467003585222464
"Scott, Brandon",1000138331.0,LAK_ERI24,Slider,L,42,24,0.29237954687499285,0.05921428571428572,0.1875,0.25,73.13380281690141,47.75646153917082
"Willeman, Landon",812254.0,EVA_OTT,Curveball,L,29,12,0.351679474247175,0.030793103448275863,0.4444444444444444,0.4,74.50704225352112,40.033966836822806
"Balzan, Jackson",827496.0,SUS_COU1,Four-Seam,R,103,65,0.24256803796657378,0.1454757281553398,0.10204081632653061,0.18604651162790697,54.225352112676056,53.74334471264612
"Huter, Blayne",1000145980.0,SUS_COU1,Four-Seam,L,61,57,0.2557827013221115,0.1109344262295082,0.14705882352941177,0.21428571428571427,42.7112676056338,32.0353856330154
"Sparks, Alec",836152.0,GAT_GRI,Four-Seam,R,154,104,0.2236727931100079,0.0893896103896104,0.12162162162162163,0.10714285714285714,32.99295774647887,45.73690471146611
"Turner, Eric",1000080978.0,JOL_SLA,Slider,L,62,39,0.29258302305032036,0.060629032258064514,0.13793103448275862,0.3684210526315789,74.61267605633802,37.74412688259174
"Cohn, Cooper",1000301881.0,NIU_HUS,Four-Seam,L,32,26,0.22481259150378405,0.09376470588235293,0.22727272727272727,0.26666666666666666,29.08450704225352,31.10867101207413
"Martinez, Mason",809209.0,TRI_VAL,Changeup,L,51,16,0.265844891231006,0.1293921568627451,0.34782608695652173,0.2857142857142857,46.61971830985915,62.66236944714032
"Steinhauer, Ryan",1000424762.0,NEW_JER6,Changeup,R,57,24,0.18890065804804995,0.059298245614035086,0.43478260869565216,0.2,61.30281690140845,51.616071588721454
"Leak, Anthony",1000264276.0,NEW_YOR13,Four-Seam,R,42,29,0.2798781151021968,0.11059523809523808,0.3181818181818182,0.2857142857142857,34.57746478873239,55.731783185854674
"Hill, Kaleb",1000371973.0,OTT_TIT,Changeup,L,55,49,0.3493021933925567,0.053618181818181815,0.05263157894736842,0.42857142857142855,59.19014084507042,47.11448955311672
"Dill, Austin",1000429156.0,TRI_VAL,Sinker,R,102,83,0.2510865690812496,0.1001764705882353,0.0196078431372549,0.0975609756097561,35.95070422535211,39.65856798200088
"Bradford, Ethan",688428.0,NEW_YOR13,Sinker,R,87,43,0.24212760313005588,0.08440229885057471,0.10526315789473684,0.25925925925925924,48.309859154929576,45.02733695440374
"Dill, Austin",1000429156.0,TRI_VAL,Sinker,L,90,83,0.27977299428175223,0.13998888888888888,0.020833333333333332,0.21428571428571427,35.95070422535211,39.575850746897146
"Boies, Emiles",1000429129.0,QUE_CAP,Sinker,R,58,49,0.269900611644067,0.13170689655172413,0.17857142857142858,0.3181818181818182,37.53521126760563,44.14215081798565
"Hines, Carter",809552.0,FLO_Y'A,Four-Seam,R,36,13,0.18301531677316882,0.04427777777777778,0.25,0.125,46.83098591549296,37.10121978051089
"Sechrist, Zander",801415.0,WAS_WIL3,Sinker,R,39,25,0.23930668390200793,0.07823076923076923,0.08333333333333333,0.14285714285714285,69.11971830985915,44.68821016168476
"Hernandez, Nyan",683466.0,NEW_JER6,Changeup,R,32,38,0.35372816515232797,0.216,0.13333333333333333,0.5454545454545454,57.18309859154929,46.06308936397809
"Vitas, Ben",1000076969.0,JOL_SLA,Sinker,R,84,49,0.2384469606733246,0.08741666666666667,0.03125,0.06451612903225806,23.16901408450704,45.20128436361456
"Duncan, Tanner",677365.0,DOW_EAS1,Four-Seam,L,55,30,0.2710323757992279,0.08052727272727274,0.15,0.07692307692307693,22.42957746478873,50.55230204784198
"Bohnert, Matthew",810066.0,WIN_CIT29,Four-Seam,R,86,57,0.2569879947489966,0.10009302325581396,0.2682926829268293,0.14814814814814814,42.9225352112676,45.90054041299551
"Villers, Ian",677351.0,QUE_CAP,Four-Seam,R,86,55,0.3227137424820054,0.12929069767441861,0.17777777777777778,0.3448275862068966,23.485915492957744,44.390223183767496
"Peters, Garrett",833402.0,NEW_YOR13,Changeup,L,79,89,0.3147650351515045,0.09741772151898734,0.24242424242424243,0.391304347826087,66.58450704225353,47.40535112604951
"Majick, Eli",828663.0,NEW_ENG23,Sinker,R,95,56,0.2836365205726585,0.14202105263157896,0.11627906976744186,0.1935483870967742,52.32394366197183,50.05906327542476
"Thornton, Tyler",1000429124.0,NEW_ENG23,Changeup,R,25,26,0.1832881359084678,0.07144,0.2,0.09090909090909091,47.147887323943664,58.38872288099222
"Misla, Luis",695417.0,TRI_VAL,Curveball,L,40,16,0.3131411653696164,0.062175,0.3333333333333333,0.3333333333333333,74.82394366197184,43.65463780001315
"Barreto, Brayhans",810980.0,TRI_VAL,Slider,R,33,16,0.2938738964229864,0.08081818181818182,0.1875,0.2,63.62676056338027,44.31519626237865
"Duby, Bill",1000270408.0,NEW_JER6,Sinker,R,45,39,0.296037850793368,0.14064444444444443,0.04,0.09523809523809523,41.65492957746479,53.125127371119376
"Williams, Brian",1000079778.0,MIS_MUD,Cutter,L,45,31,0.2739772229684865,0.0811111111111111,0.25925925925925924,0.26666666666666666,60.352112676056336,38.89628694639737
"Sparks, Alec",836152.0,GAT_GRI,Four-Seam,L,109,104,0.274055197742432,0.12054128440366972,0.13793103448275862,0.25,32.99295774647887,44.42675992384951
"Figueredo, Kevin",1000210447.0,WIN_CIT29,Sinker,L,97,75,0.2604583247884937,0.12426804123711341,0.08333333333333333,0.25,49.683098591549296,46.40594243606316
"Foster, Kobe",816330.0,WAS_WIL3,Curveball,R,64,26,0.2948436853221543,0.024906249999999998,0.15,0.14285714285714285,79.68309859154928,36.34668166520225
"Austin, Zack",813186.0,SUS_COU1,Four-Seam,R,34,11,0.15391644785826067,0.12370588235294117,0.25,0.0,34.04929577464789,37.05898252499649
"Reeves, Cobe",802696.0,NEW_YOR13,Sinker,R,90,39,0.3401583776369413,0.08703333333333334,0.125,0.34615384615384615,44.71830985915493,47.38530368973549
"Andueza, Axel",672847.0,DOW_EAS1,Curveball,R,46,30,0.28672875818474286,0.24834782608695652,0.21739130434782608,0.23076923076923078,70.28169014084506,37.96528575041897
"Barker, Alex",1000106691.0,NEW_YOR13,Slider,L,43,24,0.24623480113249885,0.06665116279069766,0.34782608695652173,0.08333333333333333,66.69014084507043,53.71671147797291
"Simone, Andrew",1000132681.0,TRO_AIG,Four-Seam,L,44,34,0.35437981363507426,0.1193409090909091,0.10526315789473684,0.42857142857142855,30.880281690140844,50.75892128165543
"Anderson, Nathan",1000570089.0,EVA_OTT,Four-Seam,L,31,18,0.2634349671162641,0.1846774193548387,0.07142857142857142,0.16666666666666666,35.739436619718305,46.78128412858914
"Kassebaum, Torin",10120793.0,LON_ISL22,Curveball,L,25,16,0.29373690771318356,0.09304,0.0,0.375,79.04929577464789,49.5224346508038
"Duby, Bill",1000270408.0,NEW_JER6,Sinker,L,46,39,0.2710307319171426,0.1356304347826087,0.13043478260869565,0.2777777777777778,41.65492957746479,52.50699018411754
