dependent,model,formula,term,coefficient,robust_se,t_stat,p_value,p_stars,ci_lower,ci_upper,r_squared,adj_r_squared,aic,bic,sample_size
xwoba_frontier,Model 5,xwoba_frontier ~ movement_quality_20_80 + location_score_20_80 + pitch_count + batted_ball_count + C(pitch_type) + C(batter_side),pitch_type_Slider,-0.011456865821702425,0.006925648910279678,-1.65426604353234,0.09839500501725758,+,-0.02504774231747807,0.0021340106740732213,0.09623707242436441,0.08605121975701602,-5671.124999460446,-5612.376807087471,988
xwoba_frontier,Model 5,xwoba_frontier ~ movement_quality_20_80 + location_score_20_80 + pitch_count + batted_ball_count + C(pitch_type) + C(batter_side),pitch_type_Splitter,-0.05406297156940039,0.025736072361395756,-2.100669084630611,0.03592606634198637,*,-0.10456737707440741,-0.0035585660643933717,0.09623707242436441,0.08605121975701602,-5671.124999460446,-5612.376807087471,988
xwoba_frontier,Model 5,xwoba_frontier ~ movement_quality_20_80 + location_score_20_80 + pitch_count + batted_ball_count + C(pitch_type) + C(batter_side),batter_side_R,0.00278727816767359,0.0037620347305631343,0.7408964476137002,0.45893443981826126,,-0.004595329593457838,0.010169885928805019,0.09623707242436441,0.08605121975701602,-5671.124999460446,-5612.376807087471,988
woba_value,Model 1,woba_value ~ movement_quality_20_80,Intercept,0.12134533817951892,0.004270934437302595,28.4118943900617,3.2791566932316944e-130,***,0.11296417241688542,0.12972650394215243,0.04430343466230435,0.043334168368858395,-6087.8531654902245,-6078.061800094729,988
woba_value,Model 1,woba_value ~ movement_quality_20_80,movement_quality_20_80,-0.0005704860631586503,8.220297029751414e-05,-6.939968970633439,7.098430759793938e-12,***,-0.0007317989398506725,-0.00040917318646662814,0.04430343466230435,0.043334168368858395,-6087.8531654902245,-6078.061800094729,988
woba_value,Model 2,woba_value ~ location_score_20_80,Intercept,0.12946706853778828,0.008014595162879381,16.15391244431553,2.956829951110942e-52,***,0.11373944462630614,0.1451946924492704,0.023511246127913443,0.02252089242216082,-6066.588667659764,-6056.797302264268,988
woba_value,Model 2,woba_value ~ location_score_20_80,location_score_20_80,-0.0007284300522645616,0.00015408754502316824,-4.72737788219701,2.6051170130708023e-06,***,-0.0010308072663741887,-0.0004260528381549344,0.023511246127913443,0.02252089242216082,-6066.588667659764,-6056.797302264268,988
woba_value,Model 3,woba_value ~ movement_quality_20_80 + location_score_20_80,Intercept,0.15728715709467717,0.008413439185101821,18.694751769668095,5.543262068070828e-67,***,0.1407768319042847,0.17379748228506964,0.06761674201048318,0.06572357803486994,-6110.253318574301,-6095.5662704810575,988
woba_value,Model 3,woba_value ~ movement_quality_20_80 + location_score_20_80,movement_quality_20_80,-0.0005692129220157842,8.081189889898844e-05,-7.043677104126423,3.5115440939613486e-12,***,-0.0007277961958377453,-0.0004106296481938231,0.06761674201048318,0.06572357803486994,-6110.253318574301,-6095.5662704810575,988
woba_value,Model 3,woba_value ~ movement_quality_20_80 + location_score_20_80,location_score_20_80,-0.0007253607147102116,0.00015097483214727547,-4.8045141325451155,1.792544024977998e-06,***,-0.0010216299952596343,-0.00042909143416078874,0.06761674201048318,0.06572357803486994,-6110.253318574301,-6095.5662704810575,988
